City,Zip Code,County,Latitude,Longitude,,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Hawthorne,7506,Passaic,40.957498,-74.15627,,NA,"18,786",NA,"18,786",NA,0.00%,"18,791",6.10%,21.10%,15.50%,49.20%,88.40%,3.40%,0.00%,1.10%,0.00%,2.90%,24.20%,70.10%,560,15.60%,X,60.40%,"$371,700 ","$2,667 ","$1,178 ","$1,478 ",X,"6,963",2.7,92.10%,27.30%,92.40%,88.60%,90.70%,36.80%,4.80%,7.90%,72.60%,64.90%,"16,815",D,"254,928","331,586","260,128","$13,772 ",26,"$96,250 ","$42,050 ",4.30%,X,X,X,X,X,"2,092","1,258",513,286,"1,658",248,"1,662","5,636.20",3.33,"""3430570"""
Highland Park,8904,Middlesex,40.500254,-74.4257,,NA,"13,869",NA,"13,982",NA,-0.80%,"13,982",4.80%,22.00%,11.90%,52.40%,67.40%,10.10%,0.20%,13.80%,0.00%,3.90%,16.30%,57.60%,316,27.70%,X,42.40%,"$362,600 ","$2,706 ","$1,263 ","$1,427 ",X,"5,608",2.49,85.00%,37.40%,94.50%,93.40%,96.40%,69.20%,5.50%,5.10%,72.10%,67.20%,"10,317","49,202","4,810",D,"68,219","$4,771 ",30,"$80,846 ","$45,349 ",10.50%,X,X,X,X,X,"1,320",721,424,195,"1,091",67,"1,153","7,729.10",1.81,"""3431470"""
Hightstown,8520,Mercer,40.262809,-74.53246,,NA,"5,315",NA,"5,523",NA,-3.80%,"5,494",7.30%,20.10%,17.00%,53.40%,77.50%,10.30%,0.00%,6.40%,0.00%,0.00%,31.00%,50.40%,139,28.70%,X,61.30%,"$278,000 ","$2,283 ","$1,018 ","$1,401 ",X,"1,951",2.72,91.50%,35.40%,89.60%,80.20%,82.40%,42.20%,4.10%,20.60%,64.10%,58.50%,D,D,D,D,"33,272","$5,996 ",25.4,"$78,079 ","$41,930 ",14.10%,X,X,X,X,X,659,432,171,183,461,47,597,"4,536.70",1.21,"""3431620"""
Hillsdale,7642,Bergen,41.007389,-74.04247,,NA,"10,405",NA,"10,202",NA,2.00%,"10,219",4.40%,24.30%,16.40%,51.80%,85.70%,2.90%,0.20%,8.50%,0.00%,1.80%,7.10%,79.90%,283,14.20%,X,85.80%,"$552,100 ","$3,373 ","$1,417 ","$1,395 ",X,"3,602",2.88,91.20%,17.50%,96.10%,91.00%,95.80%,53.00%,3.00%,3.50%,68.00%,64.10%,"16,850","8,826",D,D,"117,806","$11,387 ",33.8,"$140,694 ","$54,346 ",4.50%,X,X,X,X,X,"1,016",540,349,84,911,81,907,"3,465.20",2.95,"""3431920"""
Hoboken,7030,Hudson,40.744851,-74.03294,,NA,"53,455",NA,"50,015",NA,6.90%,"50,005",7.00%,13.50%,6.40%,50.30%,82.30%,3.10%,0.00%,9.10%,0.00%,3.40%,15.80%,70.80%,942,16.50%,X,32.70%,"$693,400 ","$3,473 ","$1,500+","$2,231 ",X,"25,132",2.06,78.20%,21.30%,93.90%,92.80%,94.40%,78.70%,3.70%,3.40%,79.60%,76.20%,D,"246,872","33,923","396,834","314,139","$6,037 ",39.6,"$136,402 ","$86,413 ",9.10%,X,X,X,X,X,"5,946","3,162","2,050","1,025","4,721",324,"5,415","39,219.60",1.28,"""3432250"""
Hopatcong,7843,Sussex,40.937206,-74.66147,,NA,"14,203",NA,"15,140",NA,-6.20%,"15,147",5.10%,18.60%,13.70%,50.70%,89.10%,3.90%,0.00%,3.80%,0.00%,1.40%,14.00%,78.90%,788,12.50%,X,83.30%,"$240,300 ","$2,126 ",$930 ,"$1,382 ",X,"5,570",2.57,93.00%,18.00%,94.40%,91.80%,95.30%,28.40%,8.70%,6.40%,72.00%,65.70%,"4,104","3,842",D,D,"35,913","$2,406 ",37.5,"$84,213 ","$39,563 ",3.60%,X,X,X,X,X,"1,099",654,332,133,959,167,910,"1,395.50",10.85,"""3432910"""
Hopewell,8525,Mercer,40.386902,-74.78112,,NA,"17,978",NA,"18,307",NA,-1.80%,"17,304",4.70%,21.20%,16.60%,50.30%,83.40%,4.80%,0.00%,8.20%,0.00%,2.80%,5.00%,80.10%,832,10.40%,X,90.80%,"$450,900 ","$3,186 ","$1,301 ","$1,623 ",X,"6,547",2.69,91.70%,13.90%,96.20%,93.20%,95.00%,66.60%,4.20%,2.00%,13.90%,61.90%,"10,786",D,D,D,"64,985","$3,759 ",29.5,"$132,813 ","$69,342 ",2.40%,X,X,X,X,X,"1,475",800,451,247,"1,194",48,"1,379",298.2,58.03,"""3402133180"""
Jersey City,7097,Hudson,40.73276,-74.075485,,NA,"265,549",NA,"247,639",NA,7.20%,"247,597",7.80%,20.80%,10.60%,50.60%,35.00%,23.90%,0.50%,25.10%,0.10%,3.30%,29.10%,21.00%,"4,203",41.40%,X,28.70%,"$362,100 ","$2,698 ","$1,045 ","$1,334 ",X,"101,007",2.56,83.80%,53.40%,89.90%,83.70%,86.80%,46.10%,7.00%,14.10%,68.10%,60.90%,"422,529","1,073,908","857,582","12,481,747","2,568,076","$10,093 ",37.1,"$65,923 ","$38,477 ",18.30%,X,X,X,X,X,"23,681","12,383","9,196","13,600","8,993","1,204","21,509","16,736.30",14.79,"""3436000"""
Keansburg,7734,Monmouth,40.444407,-74.13298,,NA,"9,719",NA,"10,097",NA,-3.70%,"10,105",5.00%,20.90%,13.50%,53.00%,81.10%,8.40%,0.40%,2.30%,0.00%,3.40%,13.00%,73.20%,581,9.60%,X,52.80%,"$190,500 ","$1,748 ",$953 ,"$1,212 ",X,"4,029",2.39,84.40%,17.00%,84.00%,69.60%,81.40%,18.00%,13.50%,6.70%,64.90%,64.00%,"6,906","19,889",D,D,"19,474","$1,945 ",36.3,"$46,725 ","$30,305 ",25.00%,X,X,X,X,X,351,205,101,81,233,37,277,"9,452.80",1.07,"""3436480"""
Kearny,7032,Hudson,40.763051,-74.13718,,NA,"41,422",NA,"40,714",NA,1.70%,"40,684",6.10%,21.30%,12.90%,48.90%,67.90%,4.60%,0.30%,4.70%,0.00%,4.30%,50.20%,39.10%,"1,051",43.50%,X,47.20%,"$323,400 ","$2,520 ","$1,201 ","$1,243 ",X,"13,581",2.94,90.30%,63.30%,91.40%,85.60%,81.80%,26.20%,6.60%,15.40%,65.50%,62.30%,"33,164","59,544","617,149","2,672,380","402,906","$9,735 ",31.3,"$67,348 ","$27,328 ",11.00%,X,X,X,X,X,"3,536","1,788","1,350","1,573","1,754",184,"3,113","4,636.40",8.78,"""3436510"""
Kenilworth,7033,Union,40.674652,-74.2908,,NA,"8,220",NA,"7,914",NA,3.90%,"7,914",3.50%,21.60%,17.40%,50.20%,80.10%,2.10%,0.20%,5.10%,0.00%,4.80%,23.00%,67.10%,356,19.60%,X,79.70%,"$346,000 ","$2,440 ","$1,055 ","$1,415 ",X,"2,828",2.88,98.90%,35.00%,92.90%,85.40%,88.80%,28.70%,3.90%,8.50%,62.80%,57.10%,"19,648",D,"2,143,627","312,751","67,256","$8,381 ",29,"$98,624 ","$48,455 ",7.10%,X,X,X,X,X,907,680,120,127,726,101,727,"3,669.00",2.16,"""3436690"""
Keyport,7735,Monmouth,40.439714,-74.19374,,NA,"7,053",NA,"7,220",NA,-2.30%,"7,240",6.00%,19.20%,17.10%,50.00%,76.40%,6.50%,0.00%,4.10%,0.00%,3.20%,17.80%,68.90%,307,13.90%,X,49.80%,"$258,600 ","$2,054 ",$935 ,"$1,081 ",X,"3,026",2.32,89.40%,21.90%,83.60%,72.80%,87.20%,21.30%,10.40%,16.10%,64.60%,54.10%,"11,853","10,582",D,"18,200","122,159","$16,889 ",28.5,"$56,000 ","$32,380 ",12.80%,X,X,X,X,X,565,291,192,141,407,32,500,"5,190.00",1.4,"""3436810"""
Lebanon,8833,Hunterdon,40.643314,-74.82345,,NA,"6,089",NA,"6,327",NA,-3.80%,"6,588",2.40%,17.60%,17.40%,50.20%,94.90%,0.60%,0.00%,1.50%,0.00%,2.90%,4.70%,90.20%,334,3.50%,X,92.40%,"$358,500 ","$2,327 ",$885 ,"$1,232 ",X,"2,380",2.53,93.40%,5.30%,95.30%,91.40%,96.80%,53.70%,5.90%,1.90%,5.30%,69.40%,D,D,X,D,"11,941","$1,844 ",34.5,"$112,359 ","$53,658 ",2.40%,X,X,X,X,X,528,272,172,F,511,F,484,209.4,31.46,"""3401939660"""
Leonia,7605,Bergen,40.862685,-73.98551,,NA,"9,110",NA,"8,944",NA,1.90%,"8,937",4.40%,22.20%,17.50%,51.50%,50.80%,3.10%,0.00%,40.10%,0.00%,4.60%,17.60%,37.30%,341,40.90%,X,59.60%,"$495,900 ","$3,403 ","$1,500+","$1,403 ",X,"3,338",2.73,93.70%,53.70%,92.20%,87.60%,92.30%,55.80%,3.30%,14.30%,63.30%,57.10%,"5,403","6,817",D,"98,424","118,330","$13,122 ",33.6,"$96,131 ","$47,892 ",8.50%,X,X,X,X,X,"1,079",505,454,447,613,61,"1,000","5,818.40",1.54,"""3440020"""
Lincoln Park,7035,Morris,40.923233,-74.29376,,NA,"10,246",NA,"10,539",NA,-2.80%,"10,521",4.40%,19.00%,18.10%,51.70%,90.80%,2.40%,0.00%,3.20%,0.00%,2.10%,12.70%,80.90%,422,14.20%,X,76.20%,"$331,600 ","$2,401 ","$1,170 ","$1,651 ",X,"3,587",2.68,90.50%,21.90%,94.50%,86.60%,93.40%,37.00%,6.30%,6.30%,65.40%,61.60%,"7,342","113,808","35,910","170,387","116,552","$11,075 ",28.6,"$92,346 ","$35,835 ",3.40%,X,X,X,X,X,"1,061",621,372,83,955,26,972,"1,649.10",6.38,"""3440290"""
Linden,7036,Union,40.633953,-74.25339,,NA,"42,538",NA,"40,525",NA,5.00%,"40,499",5.60%,21.40%,14.10%,52.20%,52.70%,31.20%,0.50%,3.40%,0.10%,3.00%,30.30%,33.40%,"1,063",34.00%,X,56.90%,"$276,700 ","$2,393 ","$1,066 ","$1,262 ",X,"14,434",2.89,88.80%,50.90%,87.40%,78.90%,86.00%,22.50%,7.40%,12.90%,67.10%,62.50%,"62,075","121,849","14,465,725","2,144,045","843,192","$20,626 ",30.1,"$68,870 ","$29,259 ",9.20%,X,X,X,X,X,"4,384","2,767","1,242","1,801","2,398",233,"3,979","3,793.80",10.68,"""3440350"""
Linwood,8221,Atlantic,39.348616,-74.57387,,NA,"6,740",NA,"7,095",NA,-5.00%,"7,092",5.30%,21.80%,21.10%,52.80%,90.50%,1.50%,0.00%,4.40%,0.20%,2.50%,5.90%,87.00%,347,6.80%,X,86.10%,"$284,100 ","$2,638 ","$1,228 ","$1,566 ",X,"2,491",2.68,90.40%,11.30%,92.50%,88.80%,95.90%,49.80%,7.10%,3.80%,64.70%,59.40%,"4,863","94,767",D,D,"15,961","$2,251 ",22.2,"$95,034 ","$46,492 ",2.10%,X,X,X,X,X,"1,052",610,299,70,950,107,884,"1,834.90",3.87,"""3440530"""
Little Ferry,7643,Bergen,40.850621,-74.04112,,NA,"10,822",NA,"10,638",NA,1.70%,"10,626",5.40%,15.20%,14.00%,51.70%,64.00%,2.40%,0.00%,25.70%,0.10%,2.90%,29.70%,40.50%,221,44.80%,X,40.20%,"$316,600 ","$2,399 ","$1,143 ","$1,326 ",X,"4,308",2.51,84.20%,61.10%,92.30%,86.50%,86.90%,31.50%,4.30%,19.00%,68.70%,59.80%,"16,205","3,485","117,080","534,113","167,178","$15,580 ",29.1,"$61,144 ","$32,696 ",10.30%,X,X,X,X,X,925,647,217,467,408,25,849,"7,199.20",1.48,"""3440680"""
Little Silver,7739,Monmouth,40.33517,-74.04059,,NA,"5,813",NA,"5,952",NA,-2.30%,"5,950",4.90%,27.10%,19.60%,53.20%,98.50%,0.30%,0.00%,0.80%,0.20%,0.20%,5.20%,93.50%,287,8.00%,X,92.50%,"$595,100 ","$3,329 ","$1,370 ","$2,308 ",X,"2,099",2.79,90.80%,7.30%,99.40%,98.70%,99.30%,69.10%,2.60%,2.90%,61.50%,49.70%,"6,970","71,199",D,"26,648","208,583","$34,868 ",39.9,"$162,232 ","$82,339 ",1.40%,X,X,X,X,X,957,661,225,96,845,102,831,"2,197.20",2.71,"""3440770"""
Lodi,7644,Bergen,40.877999,-74.08265,,NA,"24,551",NA,"24,113",NA,1.80%,"24,136",5.60%,19.40%,14.00%,51.10%,74.70%,7.50%,0.10%,10.30%,0.00%,2.50%,36.30%,46.90%,628,39.20%,X,40.70%,"$376,200 ","$2,715 ","$1,241 ","$1,316 ",X,"8,927",2.73,88.90%,55.90%,91.00%,87.90%,84.70%,24.60%,6.40%,13.50%,67.60%,62.30%,"20,221",D,D,"207,472","312,558","$12,831 ",26.3,"$60,651 ","$30,101 ",10.70%,X,X,X,X,X,"2,552","1,520",759,869,"1,634",147,"2,287","10,656.10",2.27,"""3441100"""
Long Branch,7740,Monmouth,40.297932,-73.99097,,NA,"30,406",NA,"30,717",NA,-1.00%,"30,719",6.90%,22.70%,15.10%,49.90%,67.00%,14.90%,0.10%,2.50%,0.00%,2.70%,30.40%,51.40%,951,30.70%,X,43.90%,"$353,200 ","$2,282 ","$1,139 ","$1,290 ",X,"11,896",2.56,88.90%,43.60%,88.30%,78.40%,83.00%,28.90%,7.90%,24.50%,67.70%,59.70%,"88,477","485,638",D,"73,307","268,677","$8,767 ",29.2,"$58,232 ","$32,957 ",19.10%,X,X,X,X,X,"2,802","1,744",829,834,"1,861",181,"2,511","5,824.60",5.27,"""3441310"""
Madison,7940,Morris,40.75875,-74.41609,,NA,"16,522",NA,"15,813",NA,4.50%,"15,845",5.50%,24.30%,13.80%,52.30%,85.60%,4.10%,0.00%,6.50%,0.10%,2.40%,10.40%,77.60%,485,15.60%,X,68.20%,"$712,500 ","$3,583 ","$1,349 ","$1,674 ",X,"5,456",2.68,90.30%,19.20%,92.60%,90.30%,96.10%,68.60%,3.60%,3.50%,65.90%,61.60%,"43,383","51,123",D,"10,359","377,541","$23,409 ",29.5,"$133,125 ","$67,168 ",6.00%,X,X,X,X,X,"2,287","1,210",833,432,"1,700",150,"1,988","3,768.10",4.21,"""3442510"""
Manville,8835,Somerset,40.538903,-74.59222,,NA,"10,234",NA,"10,344",NA,-1.10%,"10,344",6.00%,22.30%,15.20%,53.10%,87.90%,3.60%,0.00%,2.60%,0.10%,1.30%,22.70%,69.40%,354,19.00%,X,66.20%,"$253,800 ","$2,027 ",$944 ,"$1,351 ",X,"3,785",2.72,94.20%,24.10%,82.80%,79.60%,91.10%,15.60%,8.30%,17.70%,69.80%,63.90%,"8,919",D,"3,955",D,"83,966","$8,074 ",24.6,"$69,654 ","$29,570 ",9.00%,X,X,X,X,X,587,380,167,169,393,52,505,"4,381.20",2.36,"""3443620"""
Margate City,8402,Atlantic,39.329416,-74.50661,,NA,"5,959",NA,"6,354",NA,-6.20%,"6,354",2.80%,9.60%,39.00%,51.90%,93.60%,1.90%,0.30%,1.60%,0.10%,2.00%,2.50%,91.70%,494,6.60%,X,82.10%,"$485,700 ","$2,613 ","$1,074 ","$1,279 ",X,"3,053",1.99,86.80%,8.70%,89.60%,82.60%,95.30%,49.40%,6.20%,7.70%,55.00%,47.10%,"26,929",D,X,D,"52,190","$8,247 ",26.8,"$79,375 ","$58,066 ",6.30%,X,X,X,X,X,722,395,214,29,677,86,619,"4,490.50",1.42,"""3443890"""
Matawan,7747,Monmouth,40.411102,-74.23767,,NA,"8,736",NA,"8,845",NA,-1.20%,"8,810",6.10%,22.20%,14.30%,50.80%,82.20%,7.80%,0.00%,7.50%,0.00%,2.30%,11.10%,72.60%,309,13.20%,X,65.20%,"$339,200 ","$2,551 ","$1,139 ","$1,450 ",X,"3,425",2.55,87.60%,16.00%,93.80%,88.00%,94.10%,44.20%,7.40%,5.80%,71.10%,64.40%,"19,550","42,026",D,"59,696","143,659","$16,396 ",37,"$94,375 ","$42,615 ",6.80%,X,X,X,X,X,912,525,282,145,727,46,806,"3,896.50",2.26,"""3444520"""
Maywood,7607,Bergen,40.90503,-74.06279,,NA,"9,694",NA,"9,549",NA,1.50%,"9,555",4.50%,19.90%,18.00%,54.30%,73.20%,4.20%,1.10%,14.60%,0.00%,3.70%,23.00%,56.40%,282,27.10%,X,62.90%,"$380,500 ","$2,805 ","$1,097 ","$1,460 ",X,"3,499",2.75,92.60%,35.80%,87.20%,86.20%,93.50%,36.80%,5.60%,7.20%,66.60%,62.00%,"7,461","32,439","118,932","267,299","381,386","$39,777 ",26,"$88,143 ","$45,449 ",6.00%,X,X,X,X,X,886,563,282,309,527,53,804,"7,430.00",1.29,"""3444880"""
Medford,8055,Burlington,39.865272,-74.8185,,NA,"23,355",NA,"23,006",NA,1.50%,"23,033",4.50%,23.10%,20.10%,50.60%,92.90%,1.50%,0.00%,2.20%,0.00%,2.10%,3.60%,90.70%,"1,375",5.50%,X,85.20%,"$360,900 ","$2,759 ","$1,169 ","$1,318 ",X,"8,496",2.71,90.90%,5.40%,97.00%,92.50%,97.60%,57.20%,6.60%,2.80%,5.40%,58.80%,"36,697","133,728",D,D,"404,509","$17,415 ",32.9,"$120,541 ","$56,198 ",2.30%,X,X,X,X,X,"2,687","1,704",808,275,"2,345",352,"2,241",591.8,38.92,"""3400545120"""
Mendham,7945,Morris,40.782767,-74.59529,,NA,"5,744",NA,"5,878",NA,-2.30%,"5,869",6.70%,25.60%,12.60%,50.60%,91.80%,1.20%,0.00%,3.80%,0.00%,3.00%,5.90%,86.20%,138,9.30%,X,93.10%,"$858,100 ","$4,000+","$1,500+","$1,821 ",X,"1,943",2.97,90.10%,8.10%,93.80%,91.60%,98.60%,74.20%,3.40%,1.40%,8.10%,53.30%,"4,063","2,760",X,D,D,NA,31.6,"$182,022 ","$100,462 ",2.50%,X,X,X,X,X,729,514,202,44,676,60,664,328.4,17.87,"""3402745360"""
Metuchen,8840,Middlesex,40.543354,-74.3587,,NA,"14,382",NA,"13,561",NA,6.10%,"13,574",6.80%,24.10%,16.00%,50.70%,72.40%,5.40%,0.00%,16.80%,0.00%,3.70%,6.70%,68.40%,319,20.20%,X,77.70%,"$418,900 ","$2,700 ","$1,250 ","$1,644 ",X,"5,203",2.66,90.30%,26.70%,92.10%,88.00%,96.20%,62.50%,4.30%,2.70%,72.00%,66.00%,"13,367","64,537","97,442",D,"106,262","$7,761 ",37.2,"$124,317 ","$61,196 ",1.60%,X,X,X,X,X,"1,664","1,036",483,317,"1,298",91,"1,538","4,911.00",2.76,"""3445690"""
Middlesex,8846,Middlesex,40.574552,-74.50187,,NA,"13,712",NA,"13,635",NA,0.60%,"13,635",5.60%,22.90%,15.70%,50.00%,68.40%,7.30%,0.00%,6.00%,0.00%,4.80%,23.70%,61.40%,553,21.40%,X,71.40%,"$300,400 ","$2,241 ","$1,051 ","$1,364 ",X,"4,943",2.76,93.10%,30.20%,92.10%,90.50%,91.10%,26.80%,7.30%,6.80%,68.90%,65.00%,"12,009","12,597","640,631","209,459","137,559","$10,014 ",27.4,"$71,061 ","$36,424 ",5.40%,X,X,X,X,X,"1,286",904,288,306,938,110,"1,066","3,875.80",3.52,"""3445900"""
Midland Park,7432,Bergen,40.99312,-74.14286,,NA,"7,265",NA,"7,142",NA,1.70%,"7,128",7.30%,23.60%,17.00%,50.30%,94.30%,1.20%,0.00%,1.70%,0.10%,1.00%,13.70%,82.20%,421,10.60%,X,69.50%,"$498,500 ","$3,285 ","$1,344 ","$1,711 ",X,"2,604",2.78,92.10%,10.50%,92.70%,92.20%,94.00%,44.10%,4.30%,4.60%,72.10%,68.90%,"14,111","56,074","16,697","51,076","195,718","$27,081 ",28.9,"$119,231 ","$48,443 ",4.50%,X,X,X,X,X,"1,056",736,161,46,982,86,897,"4,583.90",1.56,"""3446110"""
Millstone Township,8510,Monmouth,40.18238,-74.42134,,NA,"10,453",NA,"10,652",NA,-1.90%,"10,566",3.50%,22.40%,12.30%,50.20%,88.50%,1.80%,0.10%,5.70%,0.30%,1.50%,8.00%,82.60%,242,9.30%,X,95.00%,"$602,300 ","$3,428 ","$1,500+","$1,489 ",X,"3,270",3.19,93.40%,12.00%,96.50%,94.90%,95.10%,49.60%,5.30%,2.30%,12.00%,64.60%,"12,503",D,"25,029","51,961","41,811","$3,981 ",45.6,"$162,449 ","$62,031 ",4.60%,X,X,X,X,X,"1,103",807,226,100,993,101,986,288.8,36.59,"""3402546560"""
Milltown,8850,Middlesex,40.451105,-74.43938,,NA,"7,034",NA,"6,896",NA,2.00%,"6,893",6.20%,22.70%,14.60%,52.00%,92.30%,1.60%,0.00%,4.30%,0.00%,1.50%,13.00%,80.20%,319,13.70%,X,84.80%,"$342,100 ","$2,554 ","$1,235 ","$1,485 ",X,"2,448",2.85,94.80%,16.60%,92.30%,90.20%,95.40%,35.40%,5.50%,12.30%,70.60%,63.40%,"13,833",D,D,D,"121,974","$17,560 ",30.1,"$102,738 ","$39,504 ",6.30%,X,X,X,X,X,614,361,196,43,551,F,581,"4,444.20",1.55,"""3446620"""
Millville,8332,Cumberland,39.379382,-75.03923,,NA,"27,633",NA,"28,417",NA,-2.80%,"28,400",4.60%,24.30%,15.80%,50.00%,74.60%,18.40%,0.20%,2.10%,0.00%,3.10%,17.00%,61.00%,"1,402",4.10%,X,62.10%,"$156,000 ","$1,642 ",$719 ,$947 ,X,"10,959",2.53,89.80%,12.50%,83.60%,76.90%,83.60%,15.90%,11.20%,6.80%,61.70%,58.60%,"42,518","106,037","450,446","282,808","460,494","$16,090 ",24,"$52,352 ","$25,380 ",19.20%,X,X,X,X,X,"1,666","1,010",456,374,"1,190",203,"1,357",676.2,42,"""3446680"""
Montvale,7645,Bergen,41.048997,-74.04052,,NA,"8,600",NA,"7,844",NA,9.60%,"7,844",4.90%,24.90%,18.40%,54.10%,77.50%,3.20%,0.00%,14.50%,0.00%,1.40%,12.80%,70.00%,304,19.60%,X,84.00%,"$615,800 ","$3,541 ","$1,327 ","$1,747 ",X,"2,858",2.95,93.50%,30.70%,91.90%,88.60%,96.10%,55.70%,2.80%,7.90%,65.30%,60.20%,D,"36,157","160,432","1,172,455","184,235","$23,148 ",39.8,"$128,641 ","$59,894 ",6.80%,X,X,X,X,X,"1,077",635,269,52,956,70,890,"1,961.00",4,"""3447610"""
Morris Plains,7950,Morris,40.842399,-74.48223,,NA,"5,912",NA,"5,532",NA,6.90%,"5,532",5.10%,20.60%,17.80%,49.60%,92.50%,1.60%,0.00%,4.50%,0.00%,0.80%,8.30%,84.90%,224,9.60%,X,85.60%,"$505,700 ","$2,778 ","$1,108 ","$2,165 ",X,"2,108",2.67,92.00%,11.80%,94.20%,92.60%,97.10%,61.30%,4.60%,4.20%,70.00%,65.50%,"31,227","49,098",X,D,"190,030","$33,257 ",30.2,"$125,333 ","$56,848 ",1.10%,X,X,X,X,X,698,432,193,114,538,83,561,"2,163.50",2.56,"""3448210"""
Morristown,7960,Morris,40.79215,-74.48559,,NA,"19,145",NA,"18,354",NA,4.30%,"18,411",3.80%,14.20%,13.70%,50.30%,76.30%,8.80%,0.00%,5.80%,0.00%,3.10%,29.60%,53.90%,454,30.50%,X,37.20%,"$459,900 ","$2,694 ","$1,180 ","$1,770 ",X,"8,156",2.24,85.90%,36.10%,91.10%,86.60%,89.20%,55.40%,4.80%,13.80%,75.50%,70.80%,"123,447","1,419,936","15,838",D,"520,261","$28,087 ",24,"$95,885 ","$56,606 ",5.90%,X,X,X,X,X,"2,864","1,807",721,662,"1,935",302,"2,288","6,285.80",2.93,"""3448300"""
Mount Arlington,7856,Morris,40.919498,-74.63559,,NA,"5,877",NA,"5,038",NA,16.70%,"5,050",4.70%,18.10%,23.00%,52.10%,88.60%,6.70%,0.00%,2.80%,0.00%,0.40%,10.60%,79.50%,296,11.30%,X,70.20%,"$332,900 ","$2,355 ","$1,124 ","$1,885 ",X,"2,368",2.32,90.10%,12.80%,94.90%,93.30%,97.00%,42.40%,1.60%,7.00%,66.80%,62.70%,D,D,X,D,"19,568","$3,721 ",39.1,"$89,063 ","$54,212 ",0.90%,X,X,X,X,X,326,204,99,31,272,F,286,"2,325.00",2.17,"""3448690"""
Mountainside,7092,Union,40.680301,-74.35601,,NA,"6,892",NA,"6,660",NA,3.50%,"6,685",5.00%,23.10%,25.80%,52.40%,87.70%,1.90%,0.00%,6.20%,0.00%,3.20%,8.30%,80.50%,213,13.70%,X,89.90%,"$634,800 ","$3,248 ","$1,500+","$1,858 ",X,"2,409",2.74,97.40%,17.00%,92.90%,85.80%,95.90%,53.80%,2.90%,0.50%,57.60%,52.50%,"16,819","146,447","89,051",D,D,NA,32.3,"$125,694 ","$60,793 ",1.80%,X,X,X,X,X,"1,383",957,230,102,"1,242",257,"1,085","1,667.90",4.01,"""3448510"""
Neptune,7753,Monmouth,40.208945,-74.05261,,NA,"27,595",NA,"27,991",NA,-1.40%,"27,935",4.60%,17.90%,18.90%,51.20%,55.20%,34.40%,0.00%,2.80%,0.10%,3.90%,8.80%,49.90%,"1,606",12.40%,X,64.40%,"$305,700 ","$2,206 ",$876 ,"$1,293 ",X,"11,090",2.45,87.90%,15.30%,88.90%,84.00%,90.30%,32.20%,10.40%,9.10%,15.30%,58.00%,"47,401","830,053","141,430","115,418","434,536","$15,581 ",24.9,"$72,925 ","$37,009 ",10.90%,X,X,X,X,X,"2,491","1,530",737,705,"1,684",238,"2,149","3,414.20",8.18,"""3402549890"""
