City,Zip Code,County,Latitude,Longitude,,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
,,,,,,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Kenilworth,7033,Union,40.674652,-74.2908,,7914,7914,7934,7964,8001,8072,8104,8133,8159,8182,8220
Keyport,7735,Monmouth,40.439714,-74.19374,,7240,7220,7220,7195,7169,7153,7121,7079,7056,7036,7053
Lebanon,8833,Hunterdon,40.643314,-74.82345,,1358,1358,1365,1607,1697,1691,1685,1669,1663,1663,1653
Leonia,7605,Bergen,40.862685,-73.98551,,8937,8944,8955,9010,9039,9061,9074,9103,9094,9116,9110
Lincoln Park,7035,Morris,40.923233,-74.29376,,10521,10539,10545,10544,10511,10425,10426,10320,10353,10357,10246
Linden,7036,Union,40.633953,-74.25339,,40499,40525,40587,40685,40830,41056,41340,41631,42282,42395,42538
Linwood,8221,Atlantic,39.348616,-74.57387,,7092,7095,7092,7073,7050,7025,6963,6881,6818,6767,6740
Little Ferry,7643,Bergen,40.850621,-74.04112,,10626,10638,10651,10720,10757,10789,10800,10832,10811,10832,10822
Little Silver,7739,Monmouth,40.33517,-74.04059,,5950,5952,5974,5967,5948,5935,5883,5876,5869,5865,5813
Lodi,7644,Bergen,40.877999,-74.08265,,24136,24113,24146,24275,24346,24423,24447,24504,24475,24543,24551
Long Branch,7740,Monmouth,40.297932,-73.99097,,30719,30717,30842,30744,30600,30379,30698,30734,30654,30565,30406
Madison,7940,Morris,40.75875,-74.41609,,15845,15813,15850,15942,16001,16114,15966,15968,15940,15875,16522
Manville,8835,Somerset,40.538903,-74.59222,,10344,10344,10356,10396,10401,10393,10335,10285,10293,10248,10234
Margate City,8402,Atlantic,39.329416,-74.50661,,6354,6354,6353,6346,6315,6268,6201,6150,6071,6001,5959
Matawan,7747,Monmouth,40.411102,-74.23767,,8810,8845,8895,8899,8931,8914,8879,8831,8810,8806,8736
Maywood,7607,Bergen,40.90503,-74.06279,,9555,9549,9553,9568,9601,9645,9657,9677,9672,9698,9694
Medford,8055,Burlington,39.865272,-74.8185,,4146,4153,4155,4144,4139,4115,4093,4068,4043,4000,3947
Mendham,7945,Morris,40.782767,-74.59529,,4981,4991,4995,5012,5015,5001,4978,4960,4945,4925,4910
Metuchen,8840,Middlesex,40.543354,-74.3587,,13574,13561,13553,13597,13607,13607,13637,13624,13684,14087,14382
Middlesex,8846,Middlesex,40.574552,-74.50187,,13635,13635,13629,13661,13693,13688,13711,13677,13624,13611,13712
Midland Park,7432,Bergen,40.99312,-74.14286,,7128,7142,7150,7192,7213,7233,7234,7252,7246,7274,7265
Millstone Township,8510,Monmouth,40.18238,-74.42134,,418,417,418,416,416,415,414,413,414,413,412
Milltown,8850,Middlesex,40.451105,-74.43938,,6893,6896,6894,6908,6922,6919,6925,6922,7037,7032,7034
Millville,8332,Cumberland,39.379382,-75.03923,,28400,28417,28491,28636,28585,28519,28328,28110,27913,27721,27633
Montvale,7645,Bergen,41.048997,-74.04052,,7844,7844,7861,7946,8058,8129,8219,8337,8415,8586,8600
Morris Plains,7950,Morris,40.842399,-74.48223,,5532,5532,5534,5540,5586,5588,5573,5566,5545,5523,5912
Morristown,7960,Morris,40.79215,-74.48559,,18411,18354,18393,18478,18505,18539,18498,18490,18903,18829,19145
