City,Municipality,Muni Code,"Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","Foreign born persons, percent, 2014-2018","Owner-occupied housing unit rate, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Persons per household, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Persons in poverty, percent","All firms, 2012","Population per square mile, 2010"
Haddonfield,Haddonfield Borough,417.0,17.20%,50.20%,94.70%,0.60%,4.10%,86.10%,"$3,398 ","$1,500+","$1,296 ",2.7,4.10%,95.20%,99.30%,76.50%,3.10%,57.80%,28.1,"$145,850 ",1.70%,"1,624","4,105.20"
Runnemede,Runnemede Borough,430.0,14.50%,52.80%,81.80%,8.20%,7.90%,68.20%,"$1,715 ",$816 ,$919 ,2.61,12.30%,90.40%,90.10%,26.70%,8.90%,62.80%,25.8,"$61,859 ",9.10%,717,"4,116.70"
Somerdale,Somerdale Borough,431.0,16.30%,51.80%,61.30%,25.80%,7.50%,69.40%,"$1,760 ",$789 ,$939 ,2.52,11.50%,92.90%,92.40%,25.00%,10.40%,62.20%,26.7,"$70,951 ",9.30%,425,"3,713.80"
Stratford,Stratford Borough,432.0,14.40%,52.30%,80.80%,9.80%,7.70%,76.20%,"$2,000 ",$915 ,$962 ,2.63,8.90%,90.00%,95.80%,34.80%,11.60%,66.40%,29.2,"$80,233 ",7.70%,436,"4,547.80"
Cape May,Cape May,502.0,26.60%,51.10%,91.80%,4.90%,4.80%,77.60%,"$1,884 ",$775 ,"$1,112 ",2.28,9.10%,89.00%,91.20%,31.50%,9.20%,52.50%,22.7,"$63,690 ",10.30%,"10,928",386.9
Bridgeton,Bridgeton,601.0,6.90%,44.20%,51.20%,30.90%,22.10%,35.70%,"$1,416 ",$672 ,"$1,063 ",3.34,47.30%,72.80%,63.90%,5.40%,6.80%,56.80%,26.1,"$35,023 ",33.00%,968,"4,102.40"
Millville,Millville,610.0,15.80%,50.00%,74.60%,18.40%,4.10%,62.10%,"$1,642 ",$719 ,$947 ,2.53,12.50%,83.60%,83.60%,15.90%,11.20%,58.60%,24.0,"$52,352 ",19.20%,"1,666",676.2
Vineland,Vineland,614.0,16.10%,52.90%,70.20%,13.70%,12.50%,66.20%,"$1,610 ",$753 ,"$1,017 ",2.8,38.60%,83.90%,77.00%,17.70%,10.10%,56.30%,22.8,"$55,054 ",14.40%,"4,156",887.5
Caldwell,Caldwell Borough,703.0,16.60%,52.70%,88.00%,2.60%,13.80%,47.70%,"$3,135 ","$1,275 ","$1,421 ",2.26,15.10%,94.90%,94.60%,54.90%,3.00%,64.60%,28.6,"$87,727 ",7.90%,917,"6,708.40"
East Orange,East Orange,705.0,12.60%,53.90%,3.30%,85.30%,26.90%,25.90%,"$2,259 ","$1,057 ","$1,075 ",2.68,20.40%,87.20%,86.60%,18.40%,9.70%,64.90%,33.9,"$44,809 ",19.10%,"4,579","16,378.70"
Glen Ridge,Glen Ridge Borough,708.0,10.00%,49.50%,80.90%,5.70%,13.40%,94.30%,"$4,000+","$1,500+","$1,627 ",3.11,15.00%,96.40%,97.60%,73.00%,3.30%,61.10%,41.7,"$213,801 ",3.90%,971,"5,871.30"
Newark,Newark,714.0,10.00%,51.10%,26.10%,49.70%,30.60%,22.70%,"$2,122 ",$926 ,"$1,055 ",2.76,47.70%,82.10%,74.90%,14.80%,12.60%,58.70%,35.3,"$35,181 ",28.00%,"22,800","11,458.20"
Roseland,Roseland Borough,718.0,25.70%,52.30%,87.20%,0.00%,12.80%,80.80%,"$3,243 ","$1,368 ","$2,319 ",2.5,16.00%,89.00%,96.60%,64.80%,3.40%,59.20%,29.9,"$126,250 ",3.00%,803,"1,644.20"
Clayton,Clayton Borough,801.0,15.60%,49.60%,75.20%,14.80%,2.50%,78.90%,"$1,868 ",$738 ,"$1,186 ",2.72,5.50%,90.20%,88.30%,29.30%,10.80%,57.90%,35.2,"$66,766 ",5.70%,302,"1,145.50"
Paulsboro,Paulsboro Borough,814.0,14.00%,55.60%,69.70%,26.20%,6.40%,66.10%,"$1,398 ",$756 ,"$1,039 ",2.32,16.50%,82.40%,89.00%,14.00%,17.60%,51.90%,22.4,"$41,825 ",22.00%,275,"3,215.70"
Pitman,Pitman Borough,815.0,16.70%,52.20%,92.60%,2.30%,2.10%,72.90%,"$1,879 ",$930 ,"$1,119 ",2.6,4.40%,91.80%,95.60%,31.50%,8.10%,61.30%,32.2,"$75,791 ",9.20%,673,"3,976.60"
Woodbury,Woodbury,822.0,14.40%,53.70%,56.90%,30.90%,7.90%,55.60%,"$1,838 ",$971 ,"$1,070 ",2.52,11.20%,83.20%,89.60%,28.90%,13.10%,56.90%,31.0,"$53,281 ",21.20%,903,"5,064.20"
Bayonne,Bayonne,901.0,14.10%,50.20%,63.40%,11.50%,30.40%,38.00%,"$2,581 ","$1,215 ","$1,221 ",2.6,46.90%,87.90%,87.90%,35.40%,6.50%,57.30%,35.3,"$59,924 ",13.80%,"5,477","10,858.70"
Harrison,Harrison,904.0,9.20%,49.90%,51.30%,3.70%,53.60%,27.40%,"$2,577 ","$1,119 ","$1,398 ",2.75,73.80%,93.30%,82.80%,37.80%,5.70%,64.00%,34.9,"$65,550 ",15.80%,"1,336","11,321.70"
Hoboken,Hoboken,905.0,6.40%,50.30%,82.30%,3.10%,16.50%,32.70%,"$3,473 ","$1,500+","$2,231 ",2.06,21.30%,93.90%,94.40%,78.70%,3.70%,76.20%,39.6,"$136,402 ",9.10%,"5,946","39,219.60"
Jersey City,Jersey City,906.0,10.60%,50.60%,35.00%,23.90%,41.40%,28.70%,"$2,698 ","$1,045 ","$1,334 ",2.56,53.40%,89.90%,86.80%,46.10%,7.00%,60.90%,37.1,"$65,923 ",18.30%,"23,681","16,736.30"
Kearny,Kearny,907.0,12.90%,48.90%,67.90%,4.60%,43.50%,47.20%,"$2,520 ","$1,201 ","$1,243 ",2.94,63.30%,91.40%,81.80%,26.20%,6.60%,62.30%,31.3,"$67,348 ",11.00%,"3,536","4,636.40"
