City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
Rosenhayn,08352,Cumberland,39.475565,-75.12933,Deerfield Township,0603,2.75,2.77,2.98,3.084,3.425,3.7,3.922,2.636,2.866,2.968,2.931,3.223,2.948,2.98,3.075,2.971,2.992,3.093,3.187,3.306,3.346,3.397,3.573,,3.1%
Shiloh,08353,Cumberland,39.458114,-75.29761,Shiloh Borough,0611,2.52,2.59,2.79,2.907,2.918,3.221,3.701,3.417,3.625,4.05,3.667,3.674,3.982,4.273,2.278,2.268,2.725,2.751,2.691,2.6,2.676,2.71,2.842,,0.7%
Vineland,08360,Cumberland,39.492265,-75.01887,Vineland,0614,2.79,2.87,2.91,2.884,2.896,3.015,3.09,3.156,3.597,3.839,3.832,4.025,4.044,3.994,4.061,4.132,2.27,2.346,2.481,2.576,2.67,2.811,2.887,,4.6%
Belleville,07109,Essex,40.7935,-74.16144,Belleville Township,0701,12.31,12.55,12.98,12.8,12.74,13.69,14.09,14.52,15.07,15.89,2.26,2.451,2.464,2.707,3.202,3.288,3.48,3.605,3.704,3.834,3.877,4.01,3.541,,-0.4%
Bloomfield,07003,Essex,40.803,-74.18895,Bloomfield Township,0702,3.66,3.74,3.76,3.7,3.73,3.89,4.23,4.58,4.79,5.11,5.45,5.892,6.095,3.077,3.262,3.375,3.568,3.755,3.825,3.86,3.904,3.964,3.981,,1.2%
Caldwell,07006,Essex,40.848999,-74.27917,Caldwell Borough,0703,12.81,13.13,13.23,13.61,14.02,14.74,15.27,16.14,1.88,2.04,2.12,2.19,2.219,2.245,2.307,2.346,2.369,2.423,2.587,2.712,2.662,2.717,2.79,,3.0%
Cedar Grove,07009,Essex,40.855854,-74.22898,Cedar Grove Township,0704,7.74,8.24,8.5,8.82,8.96,8.86,9.99,10.43,10.5,10.96,10.86,11.462,11.845,1.845,1.894,1.96,2.038,2.13,2.174,2.226,2.298,2.323,2.365,,2.2%
East Orange,07017,Essex,40.770933,-74.20589,East Orange,0705,19.44,21.96,23.71,27.12,26.99,27.13,27.12,27.05,27.09,27.21,2.42,2.639,2.833,3.176,3.324,3.468,4.724,4.908,4.978,5.103,5.184,5.333,5.4,,2.0%
Essex Fells,07021,Essex,40.827499,-74.28091,Essex Fells Borough,0706,9.6,10.54,11.19,11.68,11.71,12.74,14.04,1.3,1.4,1.47,1.49,1.617,1.606,1.721,1.775,1.833,1.912,1.977,2.025,2.031,1.906,1.972,1.96,,-0.2%
Fairfield,07004,Essex,40.879049,-74.29378,Fairfield Township,0707,2.05,2.14,2.13,2.15,2.13,2.18,2.32,2.37,2.44,2.52,2.63,2.787,1.459,1.556,1.627,1.886,1.937,1.956,2.019,2.203,2.192,2.186,2.269,,3.2%
Glen Ridge,07028,Essex,40.80495,-74.2047,Glen Ridge Borough,0708,9.25,9.52,10.23,10.52,10.89,12.03,12.76,13.34,14.27,15.06,15.61,2.687,2.776,2.907,2.968,3.051,3.247,3.373,3.426,3.504,3.607,3.689,3.091,,-1.7%
Irvington,07111,Essex,40.725651,-74.23207,Irvington Township,0709,23.64,21.71,22.23,22.37,23.16,23.26,23.02,23.03,23.82,25,2.27,2.549,2.534,3.284,3.31,3.399,3.51,5.456,5.423,5.552,5.675,5.701,5.814,,1.3%
Livingston,07039,Essex,40.788733,-74.32134,Livingston Township,0710,9.49,9.96,10.22,10.43,10.76,11.35,11.98,12.28,12.63,12.94,14.07,14.772,1.974,2.059,2.139,2.204,2.293,2.383,2.463,2.5,2.547,2.581,2.616,,2.0%
Maplewood,07040,Essex,40.728901,-74.26821,Maplewood Township,0711,8.99,9.3,9.68,10.22,3.01,3.26,3.42,3.61,3.79,3.98,4.23,4.481,4.66,4.877,3.103,3.186,3.46,3.524,3.6,3.685,3.049,3.143,3.226,,-1.7%
Millburn,07041,Essex,40.724168,-74.29913,Millburn Township,0712,4.29,4.49,4.72,4.94,5.24,1.68,1.86,1.96,2.05,2.12,1.58,1.669,1.755,1.794,1.848,1.899,1.934,2.016,2.105,2.154,1.856,1.902,1.93,,-0.9%
Montclair,07042,Essex,40.81315,-74.21576,Montclair Township,0713,3.42,3.57,3.75,3.88,4.07,4.37,4.67,4.91,5.09,5.36,2.15,2.301,2.387,2.519,2.561,3.253,3.301,3.408,3.526,3.634,3.734,3.094,3.146,,-1.5%
Newark,07101,Essex,40.736101,-74.22509,Newark,0714,23.86,24.28,24.53,24.88,24.95,24.95,2.16,2.26,2.3,2.49,2.49,2.599,2.739,3.18,3.328,3.452,2.953,3.101,3.309,3.44,3.56,3.693,3.761,,4.3%
Nutley,07110,Essex,40.8196,-74.15877,Nutley Township,0716,11.77,12.14,12.27,12.49,12.54,12.95,13.75,14.17,15.66,2.05,2.18,2.284,2.383,2.777,2.909,3.049,3.203,3.274,3.316,3.37,3.473,3.511,3.608,,2.0%
Orange,07050,Essex,40.7683,-74.23603,City of Orange Township,0717,27.15,27.88,28.64,29.11,30.14,30.95,32.8,35.43,37.77,2.78,2.91,2.951,3.239,3.079,3.45,3.552,3.705,4.449,4.653,4.778,4.87,5.23,5.315,,3.9%
Roseland,07068,Essex,40.821799,-74.30477,Roseland Borough,0718,7.37,7.73,8.28,8.8,9.19,8.92,9.35,9.53,10.13,10.41,11.43,12.083,12.821,1.833,1.873,2.037,2.042,2.161,2.223,2.218,2.253,2.254,2.274,,1.0%
Short Hills,07078,Essex,40.73915,-74.32749,Millburn Township,0712,4.29,4.49,4.72,4.94,5.24,1.68,1.86,1.96,2.05,2.12,1.58,1.669,1.755,1.794,1.848,1.899,1.934,2.016,2.105,2.154,1.856,1.902,1.93,,-0.9%
South Orange,07079,Essex,40.74765,-74.25881,South Orange Village Township,0719,3.82,4.03,4.21,4.49,4.72,5.01,5.28,5.56,5.82,6.17,6.51,2.445,2.532,2.629,2.733,3.466,3.554,3.661,3.739,3.828,3.072,3.15,3.198,,-2.5%
Verona,07044,Essex,40.832449,-74.24227,Verona Township,0720,6,6.24,6.39,6.64,6.99,7.33,7.63,7.95,8.31,8.77,9.09,9.608,9.917,2.416,2.55,2.678,2.801,2.946,3,3.063,3.113,3.159,2.77,,-1.2%
West Orange,07052,Essex,40.78865,-74.25541,West Orange Township,0722,6.58,6.8,7.09,7.31,7.62,8.13,8.8,9.35,9.85,10.6,11.39,12.126,12.547,12.983,3.481,3.544,3.648,3.742,3.817,3.89,3.986,4.038,4.161,,2.2%
Bridgeport,08014,Gloucester,39.803646,-75.34421,Logan Township,0809,2.09,2.1,2.059,2.062,2.27,2.41,2.583,2.704,2.835,2.977,3.155,3.375,3.404,3.494,3.45,3.405,2.105,2.114,2.18,2.466,2.507,2.112,2.172,,0.5%
Clarksboro,08020,Gloucester,39.800958,-75.2211,East Greenwich Township,0803,2.16,2.27,2.51,2.668,2.73,2.94,3.149,3.464,3.751,4.026,4.086,4.237,4.131,4.222,4.211,2.69,2.816,2.892,3.082,3.216,3.254,3.297,2.994,,0.7%
Clayton,08312,Gloucester,39.655964,-75.08736,Clayton Borough,0801,2.63,2.69,2.894,3.109,3.21,3.515,3.929,3.865,4.205,4.504,4.704,4.758,4.909,5.143,5.203,5.368,3.37,3.494,3.62,3.73,3.77,3.835,3.89,,2.3%
Deptford,08096,Gloucester,39.830313,-75.13221,Deptford Township,0802,2.2,2.33,2.348,2.376,2.45,2.784,3,3.104,3.279,3.57,3.709,3.784,3.963,4.057,4.101,2.535,2.679,2.744,2.82,2.914,2.978,3.065,3.138,,2.9%
Ewan,08025,Gloucester,39.701526,-75.162903,Harrison Township,0808,2.37,2.37,2.432,2.536,2.7,2.905,3.38,3.494,3.727,3.773,3.857,3.875,3.843,2.514,2.482,2.537,2.631,2.704,2.823,2.907,2.749,2.819,2.901,,1.5%
Franklinville,08322,Gloucester,39.618222,-75.0618,Franklin Township,0805,3.69,3.73,2.525,2.69,2.86,2.993,3.143,3.218,3.396,3.619,3.872,3.98,4.034,4.145,4.23,4.238,2.887,2.962,3.081,3.211,3.226,3.289,3.334,,2.5%
Gibbstown,08027,Gloucester,39.824159,-75.28187,Greenwich Township,0807,2.11,2.13,2.266,2.535,2.64,2.723,2.865,3.032,3.326,3.292,3.488,3.436,3.705,3.882,3.785,4.176,2.788,2.846,2.974,3.073,3.107,3.184,3.277,,3.0%
Glassboro,08028,Gloucester,39.700008,-75.11951,Glassboro Borough,0806,2.94,3.02,3.117,3.302,3.44,3.55,3.891,4.119,4.373,4.687,4.901,5.11,5.245,5.409,3.098,3.146,3.267,3.313,3.39,3.465,3.568,3.551,3.549,,1.4%
Grenloch,08032,Gloucester,39.781264,-75.0609,Washington Township,0818,2.51,2.62,2.924,3.034,3.15,3.293,3.626,3.755,3.995,4.186,4.382,4.726,4.883,5.095,5.12,5.093,3.174,3.247,3.349,3.398,3.42,3.466,3.501,,1.6%
Harrisonville,08039,Gloucester,39.685445,-75.2669,South Harrison Township,0816,2.08,2.09,2.371,2.535,2.63,2.914,3.083,3.122,3.198,3.318,3.623,3.562,3.577,2.105,2.232,2.288,2.382,2.697,2.818,2.836,2.865,2.908,2.953,,1.9%
Malaga,08328,Gloucester,39.572449,-75.0543,Franklin Township,0805,3.69,3.73,2.525,2.69,2.86,2.993,3.143,3.218,3.396,3.619,3.872,3.98,4.034,4.145,4.23,4.238,2.887,2.962,3.081,3.211,3.226,3.289,3.334,,2.5%
Mantua,08051,Gloucester,39.785785,-75.17761,Mantua Township,0810,2.64,2.66,2.651,2.82,2.98,3.217,3.589,3.851,4.127,4.419,4.539,4.684,4.808,4.907,4.717,2.89,2.965,3.043,3.146,3.22,3.255,3.304,3.341,,2.0%
Mickleton,08056,Gloucester,39.785219,-75.25304,East Greenwich Township,0803,2.16,2.27,2.51,2.668,2.73,2.94,3.149,3.464,3.751,4.026,4.086,4.237,4.131,4.222,4.211,2.69,2.816,2.892,3.082,3.216,3.254,3.297,2.994,,0.7%
Mount Royal,08061,Gloucester,39.807684,-75.20496,East Greenwich Township,0803,2.16,2.27,2.51,2.668,2.73,2.94,3.149,3.464,3.751,4.026,4.086,4.237,4.131,4.222,4.211,2.69,2.816,2.892,3.082,3.216,3.254,3.297,2.994,,0.7%
Mullica Hill,08062,Gloucester,39.716939,-75.21987,Harrison Township,0808,2.37,2.37,2.432,2.536,2.7,2.905,3.38,3.494,3.727,3.773,3.857,3.875,3.843,2.514,2.482,2.537,2.631,2.704,2.823,2.907,2.749,2.819,2.901,,1.5%
National Park,08063,Gloucester,39.867158,-75.1802,National Park Borough,0812,2.86,3.03,3.13,3.292,3.63,3.796,4.051,4.043,4.435,4.791,5.122,5.569,5.896,6.157,3.438,3.663,3.692,4.011,4.022,4.064,4.23,4.361,4.379,,1.8%
Newfield,08344,Gloucester,39.562763,-75.00955,Newfield Borough,0813,2.42,2.42,2.548,2.846,3.46,3.631,3.982,4.192,4.459,4.646,4.744,2.204,2.251,2.449,2.458,2.497,2.581,3.098,3.237,3.357,3.446,3.402,3.466,,2.4%
Paulsboro,08066,Gloucester,39.833156,-75.23773,Paulsboro Borough,0814,3.35,3.51,2.916,2.893,3.05,3.107,3.216,3.361,3.502,3.733,4.045,4.752,4.844,5.122,5.096,5.15,3.293,3.368,3.623,3.644,3.825,3.841,4.074,,4.2%
Pitman,08071,Gloucester,39.730964,-75.13009,Pitman Borough,0815,2.91,3,3.166,3.327,3.42,3.544,3.813,3.899,4.137,4.549,4.862,5.073,5.228,5.398,5.574,5.73,3.798,3.885,4.008,4.119,4.2,4.253,4.326,,2.3%
Richwood,08074,Gloucester,39.716194,-75.17326,Harrison Township,0808,2.37,2.37,2.432,2.536,2.7,2.905,3.38,3.494,3.727,3.773,3.857,3.875,3.843,2.514,2.482,2.537,2.631,2.704,2.823,2.907,2.749,2.819,2.901,,1.5%
Sewell,08080,Gloucester,39.74953,-75.10637,Mantua Township,0810,2.64,2.66,2.651,2.82,2.98,3.217,3.589,3.851,4.127,4.419,4.539,4.684,4.808,4.907,4.717,2.89,2.965,3.043,3.146,3.22,3.255,3.304,3.341,,2.0%
Swedesboro,08085,Gloucester,39.753088,-75.32687,Swedesboro Borough,0817,2.42,2.62,2.777,2.911,2.96,3.269,3.883,4.134,4.324,4.542,4.838,5.505,6.149,6.513,3.217,3.367,3.606,3.666,3.886,4.001,4.005,4.027,3.988,,1.8%
Thorofare,08086,Gloucester,39.849156,-75.18159,West Deptford Township,0820,2.4,2.53,2.684,2.803,2.89,2.989,3.113,3.299,3.462,3.618,3.84,4.084,4.133,4.397,2.396,2.514,2.63,2.773,2.918,3.063,3.151,3.226,3.316,,3.9%
Wenonah,08090,Gloucester,39.799347,-75.15202,Wenonah Borough,0819,2.67,2.78,2.903,3.07,3.27,3.418,3.647,3.957,4.302,4.744,5.034,2.373,2.499,2.588,2.645,2.913,3.16,3.35,3.902,3.987,4.074,4.074,4.145,,4.7%
Westville,08093,Gloucester,39.861413,-75.13284,Westville Borough,0821,2.92,2.94,2.984,2.967,3.11,3.292,3.465,3.707,4.091,4.516,4.979,5.282,5.33,5.524,5.606,3.336,3.478,3.57,4.146,4.327,4.479,4.355,4.559,,5.5%
Williamstown,08094,Gloucester,39.647598,-74.95927,Monroe Township,0811,2.68,2.72,2.796,2.967,3.08,3.247,3.657,3.927,4.318,4.61,4.768,2.549,2.675,2.778,2.83,2.873,3.129,3.298,3.397,3.497,3.542,3.556,3.615,,1.9%
Woodbury,08096,Gloucester,39.830313,-75.13221,Woodbury,0822,3.19,3.55,3.533,3.596,3.86,4.326,4.784,5.023,5.339,5.767,6.047,6.251,6.287,6.391,6.626,4.112,4.317,4.379,4.449,4.523,4.587,4.666,4.772,,1.8%
Woodbury Heights,08097,Gloucester,39.816063,-75.15321,Woodbury Heights Borough,0823,3.39,3.5,3.602,3.745,4,4.3,3.204,3.343,3.601,3.804,4,4.259,4.523,4.626,4.79,3.6,3.746,3.871,4.045,4.187,4.298,4.39,4.517,,3.3%
Bayonne,07002,Hudson,40.666552,-74.11768,Bayonne,0901,3.988,4.054,4.086,4.159,4.247,4.256,4.591,4.852,5.186,5.251,5.697,6.052,6.288,6.288,6.849,7.114,7.339,7.445,7.674,7.935,8.239,8.458,8.63,,3.2%
Harrison,07029,Hudson,40.745951,-74.15509,Harrison,0904,3.493,3.472,3.692,3.808,3.79,3.989,4.143,4.253,4.424,4.626,5.016,5.396,5.664,5.831,6.143,6.422,6.694,6.877,7.007,7.204,7.239,7.215,7.261,,1.1%
Hoboken,07030,Hudson,40.744851,-74.03294,Hoboken,0905,3.094,3.142,3.087,3.101,3.098,3.261,3.242,3.216,3.287,3.434,3.49,4.293,4.489,4.745,4.621,4.75,4.798,1.428,1.497,1.551,1.592,1.58,1.599,,2.4%
Jersey City,07097,Hudson,40.73276,-74.075485,Jersey City,0906,4.185,4.462,4.462,4.548,4.548,4.54,4.606,4.606,4.605,5.175,5.549,5.552,6.001,6.903,7.008,7.184,7.466,7.434,7.482,7.701,7.8,1.488,1.54,,-15.9%
Kearny,07032,Hudson,40.763051,-74.13718,Kearny,0907,5.202,5.517,6.071,6.039,5.931,6.179,6.608,7.03,7.329,7.91,8.276,8.776,8.947,9.171,9.467,9.618,9.791,10.036,10.326,10.669,10.705,10.561,10.542,,1.0%
North Bergen,07047,Hudson,40.7946,-74.01963,North Bergen Township,0908,3.558,3.697,3.685,3.758,3.787,3.71,3.832,3.958,4.071,4.159,4.23,4.362,4.511,4.686,4.843,4.953,5.147,5.24,5.291,5.467,5.531,5.636,5.726,,1.9%
Secaucus,07094,Hudson,40.7885,-74.06,Secaucus,0909,2.311,2.456,2.57,2.585,2.607,2.653,2.682,2.745,2.86,2.834,3.001,3.23,3.406,3.452,3.645,3.697,3.758,3.766,3.702,3.707,3.614,3.61,3.712,,-0.3%
Union City,07087,Hudson,40.767751,-74.0302,Union City,0910,3.723,3.718,3.718,4.711,4.63,4.437,4.437,4.556,4.682,4.796,5.107,5.474,5.748,5.93,6.189,6.401,6.545,6.624,6.771,6.89,6.904,6.964,7.103,,1.4%
Weehawken,07086,Hudson,40.769796,-74.022351,Weehawken Township,0911,2.599,2.674,2.784,2.851,2.88,2.906,2.975,3.03,3.105,3.286,3.497,3.504,3.793,3.866,4.132,4.345,4.646,4.887,5.066,5.06,5.114,1.651,1.655,,-13.2%
West New York,07093,Hudson,40.7895,-74.01223,West New York,0912,4.375,4.308,4.393,4.439,4.437,4.375,4.474,4.596,4.689,4.826,4.962,5.62,6.927,6.413,6.498,6.46,6.65,6.692,7.162,7.3,7.494,7.527,7.562,,2.6%
Annandale,08801,Hunterdon,40.624538,-74.89118,Clinton,1005,2.64,2.64,2.67,2.61,2.61,2.74,2.57,2.69,2.44,2.3,2.29,2.326,2.39,2.453,2.461,2.543,2.966,3.078,3.117,3.155,3.157,3.161,3.174,,0.6%
Asbury,08802,Hunterdon,40.661172,-75.0321,Franklin Township,1010,2.21,2.35,2.48,2.71,2.77,2.94,3.06,2.01,2.06,2.22,2.28,2.268,2.207,2.222,2.242,2.361,2.407,2.47,2.419,2.424,2.496,2.546,2.599,,1.0%
Baptistown,08803,Hunterdon,40.563654,-74.949409,Kingwood Township,1016,2.01,2,2.04,2.27,2.3,2.53,2.68,2.8,3.08,3.08,1.62,1.66,1.694,2.015,2.036,2.076,2.103,2.13,2.16,2.181,2.2,2.296,2.315,,1.7%
Bloomsbury,08804,Hunterdon,40.652484,-75.08959,Bloomsbury Borough,1003,2.33,2.32,2.5,2.57,2.58,2.72,3.16,3.28,3.37,1.75,1.82,1.861,1.839,2.104,2.201,2.201,2.213,2.257,2.798,2.859,2.941,2.971,3.033,,6.9%
Califon,07830,Hunterdon,40.723778,-74.81866,Califon Borough,1004,2.65,2.83,2.6,2.8,3.07,3.39,3.73,3.89,4.1,2.3,2.29,2.328,2.369,2.419,2.787,2.842,2.841,2.974,3.021,3.07,3.258,3.333,3.475,,3.4%
Clinton,08809,Hunterdon,40.639546,-74.91292,Clinton,1005,2.64,2.64,2.67,2.61,2.61,2.74,2.57,2.69,2.44,2.3,2.29,2.326,2.39,2.453,2.461,2.543,2.966,3.078,3.117,3.155,3.157,3.161,3.174,,0.6%
Flemington,08822,Hunterdon,40.515645,-74.85319,Flemington Borough,1009,2.73,2.81,2.81,2.89,2.84,2.77,2.71,2.78,2.39,2.38,2.28,2.192,2.273,2.582,2.733,2.72,2.883,2.969,3.054,3.14,3.086,3.061,3.11,,0.9%
Frenchtown,08825,Hunterdon,40.509998,-75.03239,Frenchtown Borough,1011,2.62,2.74,2.78,3,3.2,3.38,3.54,2.13,2.25,2.42,2.61,2.551,2.599,2.646,2.652,2.743,2.83,2.923,3.214,3.302,3.271,3.341,3.459,,3.7%
Glen Gardner,08826,Hunterdon,40.716332,-74.91405,Glen Gardner Borough,1012,2.7,2.88,2.85,2.85,2.93,3.34,2.41,2.43,2.47,2.68,2.68,2.789,2.825,2.817,2.856,2.818,2.862,2.954,2.956,3.043,3.052,3.196,3.307,,2.4%
Hampton,08827,Hunterdon,40.677404,-74.96875,Hampton Borough,1013,2.93,3.04,3.28,3.52,3.58,3.81,4.03,4.44,4.34,2.22,2.27,2.301,2.291,2.328,3.063,3.015,3.027,3.062,3.092,3.034,3.114,3.211,3.478,,2.7%
High Bridge,08829,Hunterdon,40.668594,-74.89241,High Bridge Borough,1014,2.78,2.9,3.07,3.32,3.36,3.32,3.55,3.79,2.39,2.59,2.99,3.028,3.062,3.15,3.159,3.168,3.324,3.429,3.706,3.809,3.854,3.963,4.131,,4.1%
Lambertville,08530,Hunterdon,40.375039,-74.93184,Lambertville,1017,2.31,2.28,2.31,2.28,2.29,2.44,2.08,1.79,1.66,1.51,1.5,1.557,1.616,1.699,1.785,1.778,1.846,1.919,1.942,1.928,1.963,2.002,2.034,,1.2%
Lebanon,08833,Hunterdon,40.643314,-74.82345,Lebanon Borough,1018,2.31,2.36,2.64,2.76,2.85,2.89,3.02,2.91,3,3.05,1.54,1.562,1.546,1.67,2.03,2.05,2.063,2.127,2.166,2.284,2.249,2.29,2.421,,2.8%
Little York,08834,Hunterdon,40.563654,-74.949409,Alexandria Township,1001,2.31,2.29,2.32,2.45,2.6,2.8,2.97,1.84,1.88,2,2.05,2.038,2.072,2.046,2.003,2.079,2.113,2.475,2.555,2.558,2.566,2.574,2.629,,1.2%
Milford,08848,Hunterdon,40.587606,-75.10402,Milford Borough,1020,2.49,2.47,2.56,2.83,2.95,2.9,2.2,2.53,2.55,2.62,2.87,2.929,3.097,3.276,3.243,3.076,3.115,3.197,3.305,3.39,3.54,3.79,3.692,,3.1%
Oldwick,08858,Hunterdon,40.681694,-74.73624,Tewksbury Township,1024,1.93,2.05,2.11,2.21,2.36,1.88,1.96,2.1,2.2,2.22,2.24,2.187,2.221,2.172,2.205,2.254,2.271,2.325,2.357,2.435,2.517,2.546,2.585,,2.2%
Pittstown,08867,Hunterdon,40.583035,-74.96224,Union Township,1025,1.78,1.86,2.22,2.29,2.38,2.06,2.07,2.2,2.34,2.49,2.61,2.683,2.768,2.77,2.769,2.666,2.684,2.65,2.635,2.601,2.647,2.738,2.858,,1.6%
Pottersville,07979,Hunterdon,40.713675,-74.72465,Tewksbury Township,1024,1.93,2.05,2.11,2.21,2.36,1.88,1.96,2.1,2.2,2.22,2.24,2.187,2.221,2.172,2.205,2.254,2.271,2.325,2.357,2.435,2.517,2.546,2.585,,2.2%
Quakertown,08868,Hunterdon,40.565493,-74.938931,Franklin Township,1010,2.21,2.35,2.48,2.71,2.77,2.94,3.06,2.01,2.06,2.22,2.28,2.268,2.207,2.222,2.242,2.361,2.407,2.47,2.419,2.424,2.496,2.546,2.599,,1.0%
Readington,08870,Hunterdon,40.563654,-74.949409,Readington Township,1022,2.14,2.27,2.29,2.45,2.17,2.26,1.96,2.07,2.21,2.38,2.49,2.521,2.57,2.604,2.673,2.668,2.729,2.721,2.755,2.8,2.868,2.936,2.983,,1.9%
Ringoes,08551,Hunterdon,40.449171,-74.84979,East Amwell Township,1008,2.06,2.24,2.4,2.52,2.61,2.78,2.87,3.09,1.67,1.78,1.76,1.748,1.817,1.82,1.902,1.885,2.224,2.25,2.266,2.325,2.34,2.358,2.425,,1.6%
Rosemont,08556,Hunterdon,40.419965,-74.988619,Delaware Township,1007,2.04,2.1,2.24,2.46,2,2.11,1.9,2,1.8,1.89,2.04,2.059,2.06,2.069,2.061,2.096,2.403,2.463,2.52,2.488,2.508,2.55,2.529,,0.5%
Sergeantsville,08557,Hunterdon,40.563654,-74.949409,Delaware Township,1007,2.04,2.1,2.24,2.46,2,2.11,1.9,2,1.8,1.89,2.04,2.059,2.06,2.069,2.061,2.096,2.403,2.463,2.52,2.488,2.508,2.55,2.529,,0.5%
Stanton,08885,Hunterdon,40.576372,-74.831105,Readington Township,1022,2.14,2.27,2.29,2.45,2.17,2.26,1.96,2.07,2.21,2.38,2.49,2.521,2.57,2.604,2.673,2.668,2.729,2.721,2.755,2.8,2.868,2.936,2.983,,1.9%
Stockton,08559,Hunterdon,40.435878,-74.96511,Stockton Borough,1023,2.14,2.14,2.3,2.57,2.55,2.71,2.99,2.96,3.14,3.31,1.51,1.603,1.743,1.863,1.968,2.075,2.122,2.059,2.065,2.081,2.095,2.078,2.07,,0.1%
Three Bridges,08887,Hunterdon,40.525361,-74.79632,Readington Township,1022,2.14,2.27,2.29,2.45,2.17,2.26,1.96,2.07,2.21,2.38,2.49,2.521,2.57,2.604,2.673,2.668,2.729,2.721,2.755,2.8,2.868,2.936,2.983,,1.9%
Whitehouse,08888,Hunterdon,40.619412,-74.740597,Readington Township,1022,2.14,2.27,2.29,2.45,2.17,2.26,1.96,2.07,2.21,2.38,2.49,2.521,2.57,2.604,2.673,2.668,2.729,2.721,2.755,2.8,2.868,2.936,2.983,,1.9%
Whitehouse Station,08889,Hunterdon,40.612851,-74.76682,Readington Township,1022,2.14,2.27,2.29,2.45,2.17,2.26,1.96,2.07,2.21,2.38,2.49,2.521,2.57,2.604,2.673,2.668,2.729,2.721,2.755,2.8,2.868,2.936,2.983,,1.9%
Hightstown,08520,Mercer,40.262809,-74.53246,Hightstown Borough,1104,3.58,3.67,3.77,3.9,4.18,4.46,4.77,5.03,5.31,5.7,6.06,6.463,2.943,3.156,3.128,3.188,3.961,4.086,4.06,4.086,4.122,4.165,4.29,,1.0%
Hopewell,08525,Mercer,40.386902,-74.78112,Hopewell Borough,1105,2.53,2.67,2.74,2.85,3.04,3.26,3.33,3.46,3.79,1.78,1.92,2.023,2.037,2.066,2.134,2.293,2.404,2.502,2.695,2.737,2.759,2.849,2.981,,3.8%
Pennington,08534,Mercer,40.32315,-74.78364,Pennington Borough,1108,2.6,2.81,2.94,3.03,3.17,3.51,3.72,3.83,4.04,1.88,1.95,2.034,2.11,2.267,2.31,2.371,2.443,2.562,2.617,2.655,2.65,2.628,2.697,,1.1%
Princeton,08540,Mercer,40.357439,-74.64922,Princeton,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131,2.185,2.212,2.264,2.3,2.332,2.372,,1.7%
Princeton Junction,08550,Mercer,40.292358,-74.60902,West Windsor Township,1113,2.92,3.03,3.24,3.38,3.64,3.96,4.11,4.13,4.26,1.91,1.99,2.102,2.19,2.289,2.401,2.461,2.487,2.54,2.57,2.631,2.689,2.746,2.772,,1.8%
Titusville,08560,Mercer,40.31049,-74.85947,Hopewell Township,1106,2.35,2.42,2.45,2.46,2.57,2.66,2.96,3.13,3.32,1.87,1.86,1.949,2.009,2.102,2.207,2.359,2.442,2.523,2.576,2.628,2.693,2.766,2.814,,2.3%
Trenton,08601,Mercer,40.280531,-74.712018,Trenton,1111,3.55,3.63,3.68,3.76,3.89,3.97,3.98,4.02,4.06,4.1,4.19,4.383,4.69,5.478,5.636,5.534,5.671,5.706,5.733,5.753,4.955,5.213,5.446,,-0.9%
Windsor,08561,Mercer,40.242009,-74.58006,Robbinsville Township,1112,2.5,2.47,2.44,2.75,3.05,3.39,3.63,3.91,4.25,4.51,2,2.078,2.225,2.486,2.578,2.665,2.744,2.871,2.861,2.905,2.932,2.938,2.957,,0.6%
Avenel,07001,Middlesex,40.578996,-74.27987,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Carteret,07008,Middlesex,40.582504,-74.22997,Carteret Borough,1201,3.22,3.23,3.25,3.37,3.46,3.72,3.97,4.1,4.42,4.62,4.97,5.076,5.164,5.146,5.339,2.872,2.942,2.985,3.121,3.167,2.63,2.727,2.793,,-1.3%
Colonia,07067,Middlesex,40.591653,-74.31341,Woodbridge Township,1225,4.67,4.76,4.97,5.16,5.27,5.58,5.85,6.09,6.39,6.73,7.09,7.328,7.935,8.357,8.787,9.114,9.39,9.53,9.751,9.929,10.008,10.192,10.404,,1.8%
Cranbury,08512,Middlesex,40.306286,-74.52627,Cranbury Township,1202,3.05,3.25,3.27,3.09,3.24,3.4,3.53,3.66,3.6,3.84,1.47,1.534,1.603,1.637,1.738,1.834,1.832,1.905,1.898,1.933,1.916,1.969,1.799,,-1.1%
Dayton,08810,Middlesex,40.372881,-74.51363,South Brunswick Township,1221,2.42,2.53,2.51,2.49,2.61,2.76,2.96,3.14,3.36,3.57,3.82,3.884,3.941,4.082,4.382,4.491,4.528,4.634,4.709,4.857,4.909,4.917,5.085,,1.9%
Dunellen,08812,Middlesex,40.594502,-74.47166,Dunellen Borough,1203,6.81,6.87,6.83,6.83,7.06,7.28,7.54,7.99,8.45,9.31,10.31,10.728,10.883,11.297,11.607,11.771,11.771,11.918,12.176,12.487,12.959,13.506,3.103,,-14.8%
