City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,2012,2013,2014,2015,2016,2017,2018
Audubon,8106,Camden,39.892213,-75.07212,Audubon Borough,401,8766,8717,8685,8675,8673,8656,8659
Barrington,8007,Camden,39.868013,-75.05424,Barrington Borough,403,6861,6806,6775,6755,6745,6716,6683
Bellmawr,8031,Camden,39.867013,-75.09162,Bellmawr Borough,404,11549,11482,11433,11411,11415,11395,11374
Berlin,8009,Camden,39.779582,-74.9365,Berlin Borough,405,7638,7599,7573,7553,7558,7548,7554
Camden,8101,Camden,39.80237,-74.938259,Camden,408,76883,76462,75856,75371,73974,73893,73973
Collingswood,8108,Camden,39.915263,-75.06401,Collingswood Borough,412,13865,13855,13801,13917,13924,13904,13916
Gloucester City,8030,Camden,39.891113,-75.11836,Gloucester City,414,11387,11321,11273,11253,11257,11237,11244
Haddon Heights,8035,Camden,39.87913,-75.06599,Haddon Heights Borough,418,7481,7456,7455,7458,7498,7522,7541
Haddonfield,8033,Camden,39.895213,-75.04019,Haddonfield Borough,417,11529,11459,11404,11364,11380,11360,11345
Runnemede,8078,Camden,39.850013,-75.0767,Runnemede Borough,430,8423,8374,8342,8325,8328,8313,8318
Somerdale,8083,Camden,39.842613,-75.02496,Somerdale Borough,431,5197,5250,5324,5407,5458,5446,5473
Stratford,8084,Camden,39.829014,-75.01371,Stratford Borough,432,7033,6995,6979,6980,6972,6960,6967
Cape May,8204,Cape May,38.963652,-74.92319,Cape May,502,3573,3547,3528,3506,3490,3477,3448
Bridgeton,8302,Cumberland,39.445164,-75.24215,Bridgeton,601,25259,25197,25294,25025,24905,24564,24442
Millville,8332,Cumberland,39.379382,-75.03923,Millville,610,28585,28519,28328,28110,27913,27721,27633
Vineland,8360,Cumberland,39.492265,-75.01887,Vineland,614,60926,60879,60899,60606,60339,59972,59966
Caldwell,7006,Essex,40.848999,-74.27917,Caldwell Borough,703,7921,7925,7937,7959,7982,7976,7970
East Orange,7017,Essex,40.770933,-74.20589,East Orange,705,64179,64237,64285,64448,64425,64367,64457
Glen Ridge,7028,Essex,40.80495,-74.2047,Glen Ridge Borough,708,7527,7537,7567,7573,7588,7578,7598
Newark,7101,Essex,40.736101,-74.22509,Newark,714,277590,278152,278991,279629,280628,281014,282090
Roseland,7068,Essex,40.821799,-74.30477,Roseland Borough,718,5858,5823,5830,5844,5849,5844,5851
Clayton,8312,Gloucester,39.655964,-75.08736,Clayton Borough,801,8207,8208,8343,8467,8571,8641,8686
Paulsboro,8066,Gloucester,39.833156,-75.23773,Paulsboro Borough,814,6034,6007,5993,5967,5928,5895,5882
Pitman,8071,Gloucester,39.730964,-75.13009,Pitman Borough,815,8944,8914,8896,8873,8826,8805,8780
Woodbury,8096,Gloucester,39.830313,-75.13221,Woodbury,822,10068,10022,9991,9966,9912,9877,9852
Bayonne,7002,Hudson,40.666552,-74.11768,Bayonne,901,64263,64754,65397,65317,65351,65347,65083
Harrison,7029,Hudson,40.745951,-74.15509,Harrison,904,13790,14633,14719,15160,16055,17150,17836
Hoboken,7030,Hudson,40.744851,-74.03294,Hoboken,905,51486,52187,52480,52856,53673,53668,53455
Jersey City,7097,Hudson,40.73276,-74.075485,Jersey City,906,256148,257243,258794,260332,260626,263401,265549
Kearny,7032,Hudson,40.763051,-74.13718,Kearny,907,41430,41603,41681,41574,41589,41571,41422
Secaucus,7094,Hudson,40.7885,-74.06,Secaucus,909,17998,18089,18157,18827,19563,19685,20742
Union City,7087,Hudson,40.767751,-74.0302,Union City,910,67827,68222,68301,68120,68373,68472,68520
West New York,7093,Hudson,40.7895,-74.01223,West New York,912,50852,51256,51540,52552,52615,52733,52990
Clinton,8809,Hunterdon,40.639546,-74.91292,Clinton,1005,2685,2680,2669,2654,2697,2691,2683
Lebanon,8833,Hunterdon,40.643314,-74.82345,Lebanon Borough,1018,1697,1691,1685,1669,1663,1663,1653
Hightstown,8520,Mercer,40.262809,-74.53246,Hightstown Borough,1104,5531,5535,5516,5483,5469,5307,5315
Hopewell,8525,Mercer,40.386902,-74.78112,Hopewell Borough,1105,1933,1929,1921,1913,1905,1910,1916
Princeton,8540,Mercer,40.357439,-74.64922,Princeton,1114,29402,29728,29676,30141,31031,31407,31386
Trenton,8601,Mercer,40.280531,-74.712018,Trenton,1111,84642,84524,84067,83566,83387,83593,83974
Carteret,7008,Middlesex,40.582504,-74.22997,Carteret Borough,1201,23719,23716,23746,23733,23664,23646,23652
Dunellen,8812,Middlesex,40.594502,-74.47166,Dunellen Borough,1203,7270,7286,7296,7294,7273,7270,7272
Highland Park,8904,Middlesex,40.500254,-74.4257,Highland Park Borough,1207,14120,14122,14140,14082,14000,13902,13869
Metuchen,8840,Middlesex,40.543354,-74.3587,Metuchen Borough,1209,13607,13607,13637,13624,13684,14087,14382
Middlesex,8846,Middlesex,40.574552,-74.50187,Middlesex Borough,1210,13693,13688,13711,13677,13624,13611,13712
Milltown,8850,Middlesex,40.451105,-74.43938,Milltown Borough,1211,6922,6919,6925,6922,7037,7032,7034
New Brunswick,8901,Middlesex,40.488304,-74.44775,New Brunswick,1213,55412,55907,55899,56033,56215,56145,56100
Perth Amboy,8861,Middlesex,40.520105,-74.27708,Perth Amboy,1216,51563,51737,51853,51734,51802,51871,51928
Sayreville,8871,Middlesex,40.430006,-74.417344,Sayreville Borough,1219,43278,43598,43953,44145,44335,44531,44556
South Amboy,8879,Middlesex,40.469606,-74.27669,South Amboy,1220,8657,8649,8660,8646,8630,8665,8921
South Plainfield,7080,Middlesex,40.580703,-74.41401,South Plainfield Borough,1222,23559,23579,23643,23854,23883,23977,24131
South River,8882,Middlesex,40.445006,-74.38179,South River Borough,1223,16135,16129,16155,16143,16072,16046,16023
Spotswood,8884,Middlesex,40.39159,-74.39329,Spotswood Borough,1224,8304,8314,8324,8322,8307,8303,8307
Asbury Park,7712,Monmouth,40.232713,-74.03143,Asbury Park,1304,15930,15906,15829,15713,15678,15667,15511
Belmar,7715,Monmouth,40.302718,-74.24928,Belmar Borough,1307,5746,5720,5683,5666,5666,5645,5587
Eatontown,7724,Monmouth,40.301979,-74.06889,Eatontown Borough,1312,12248,12203,12179,12197,12238,12297,12242
Fair Haven,7704,Monmouth,40.360581,-74.03738,Fair Haven Borough,1314,6071,6052,6020,5980,5954,5911,5820
Freehold,7728,Monmouth,40.241036,-74.27629,Freehold Borough,1316,11968,11953,11927,11877,11849,11818,11767
Keansburg,7734,Monmouth,40.444407,-74.13298,Keansburg Borough,1323,9995,9975,9825,9801,9791,9745,9719
Keyport,7735,Monmouth,40.439714,-74.19374,Keyport Borough,1324,7169,7153,7121,7079,7056,7036,7053
Little Silver,7739,Monmouth,40.33517,-74.04059,Little Silver Borough,1325,5948,5935,5883,5876,5869,5865,5813
Long Branch,7740,Monmouth,40.297932,-73.99097,Long Branch,1327,30600,30379,30698,30734,30654,30565,30406
Matawan,7747,Monmouth,40.411102,-74.23767,Matawan Borough,1331,8931,8914,8879,8831,8810,8806,8736
Millstone Township,8510,Monmouth,40.18238,-74.42134,Millstone Township,1333,416,415,414,413,414,413,412
Neptune,7753,Monmouth,40.208945,-74.05261,Neptune Township,1335,4780,4769,4742,4716,4721,4679,4645
Oceanport,7757,Monmouth,40.318115,-74.01239,Oceanport Borough,1338,5818,5782,5738,5706,5705,5719,5751
Red Bank,7701,Monmouth,40.352953,-74.07703,Red Bank Borough,1339,12241,12245,12191,12144,12119,12074,12048
Rumson,7760,Monmouth,40.369145,-73.99576,Rumson Borough,1341,6959,6905,6830,6825,6799,6820,6776
West Long Branch,7764,Monmouth,40.289985,-74.01671,West Long Branch Borough,1353,7975,7956,7834,7940,7941,7930,7909
Boonton,7005,Morris,40.912798,-74.41516,Boonton,1401,8393,8380,8352,8344,8308,8261,8212
Butler,7405,Morris,40.99313,-74.35893,Butler Borough,1403,7713,7726,7732,7731,7706,7684,7650
Chester,7930,Morris,40.786549,-74.68799,Chester Borough,1406,1660,1662,1661,1656,1653,1649,1644
Dover,7801,Morris,40.889166,-74.55462,Dover,1409,18258,18274,18187,18169,18095,18038,17961
Florham Park,7932,Morris,40.77835,-74.39009,Florham Park Borough,1411,11781,11770,11695,11731,11673,11653,11594
Lincoln Park,7035,Morris,40.923233,-74.29376,Lincoln Park Borough,1416,10511,10425,10426,10320,10353,10357,10246
Madison,7940,Morris,40.75875,-74.41609,Madison Borough,1417,16001,16114,15966,15968,15940,15875,16522
Mendham,7945,Morris,40.782767,-74.59529,Mendham Borough,1418,5015,5001,4978,4960,4945,4925,4910
Morris Plains,7950,Morris,40.842399,-74.48223,Morris Plains Borough,1423,5586,5588,5573,5566,5545,5523,5912
Morristown,7960,Morris,40.79215,-74.48559,Morristown,1424,18505,18539,18498,18490,18903,18829,19145
Mount Arlington,7856,Morris,40.919498,-74.63559,Mount Arlington Borough,1426,5128,5143,5210,5232,5411,5806,5877
Pompton Plains,7444,Morris,40.964548,-74.29813,Pequannock Township,1431,11130,11105,11089,11061,11036,11015,11014
Rockaway,7866,Morris,40.926798,-74.50624,Rockaway Borough,1434,6456,6453,6425,6418,6426,6408,6363
Wharton,7885,Morris,40.913298,-74.58246,Wharton Borough,1439,6560,6560,6542,6541,6518,6498,6457
Barnegat,8005,Ocean,39.759581,-74.27398,Barnegat Township,1501,583,580,583,586,582,585,588
Beach Haven,8008,Ocean,39.614596,-74.2005,Beach Haven Borough,1504,11022,11086,11172,11180,11168,11201,11270
Point Pleasant Beach,8742,Ocean,40.081165,-74.06003,Point Pleasant Beach Borough,1526,18334,18378,18439,18455,18499,18573,18684
Bloomingdale,7403,Passaic,41.014497,-74.33021,Bloomingdale Borough,1601,7698,7699,8126,8121,8105,8090,8072
Clifton,7011,Passaic,40.879699,-74.14263,Clifton,1602,84709,84923,85177,85232,85141,85144,85273
Haledon,7508,Passaic,40.945198,-74.18286,Haledon Borough,1603,8351,8349,8347,8341,8323,8318,8316
Hawthorne,7506,Passaic,40.957498,-74.15627,Hawthorne Borough,1604,18856,18844,18840,18829,18782,18774,18786
Passaic,7055,Passaic,40.857384,-74.12899,Passaic,1607,69977,70098,70267,70228,70086,70020,69948
Paterson,7501,Passaic,40.912198,-74.16863,Paterson,1608,146136,146089,145970,145911,145682,145804,145627
Ringwood,7456,Passaic,41.096095,-74.26012,Ringwood Borough,1611,12329,12331,12325,12326,12293,12235,12226
Totowa,7511,Passaic,41.011428,-74.304793,Totowa Borough,1612,10853,10854,10854,10845,10826,10810,10804
Wanaque,7465,Passaic,41.052958,-74.28236,Wanaque Borough,1613,11384,11494,11647,11666,11678,11725,11741
