,city,latlng,radius,activityScore
197,Neptune,"40.208945,-74.05261",4997.809287815978,422
198,Oakhurst,"40.263575,-74.02176",1687.6788348115542,201
199,Ocean Grove,"40.211982,-74.00916",940.4059054223324,312
200,Oceanport,"40.318115,-74.01239",3051.1562054389938,344
201,Port Monmouth,"40.427561,-74.1069",1825.8327992619204,208
202,Rumson,"40.369145,-73.99576",3639.862458626131,351
203,Spring Lake,"40.153024,-74.03372",2003.428116098379,260
204,Tennent,"40.302718,-74.24928",187.76808267761993,39
205,West Long Branch,"40.289985,-74.01671",2404.95911928366,318
206,Wickatunk,"40.302718,-74.24928",168.61217890786747,39
207,Dover,"40.889166,-74.55462",2421.802476356519,325
208,Mine Hill,"40.878785,-74.60098",2835.9315540787684,253
209,Picatinny Arsenal,"40.867331,-74.57826899999998",4800.0,377
210,Allamuchy,"40.869648,-74.849661",7226.79970432297,344
211,Andover,"40.96630800000001,-74.74298",1923.9169730033782,39
212,Augusta,"41.139545,-74.6993",5115.1397430589495,110
213,Belvidere,"40.82383,-75.04585",1797.766314894261,32
214,Blairstown,"40.96035,-74.96243",8684.972267811609,240
215,Branchville,"41.177457,-74.75904",1173.2044057229264,6
216,Montague,"41.300062,-74.76058",10740.381835252801,396
217,Budd Lake,"40.878198,-74.73875",3613.428497319334,279
218,Buttzville,"40.84335,-74.98591400000002",4800.0,52
219,Califon,"40.723778,-74.81866",1572.5071214735488,6
220,Changewater,"40.739382,-74.94475600000001",144.90702985766353,0
221,Columbia,"40.92976,-75.06193",979.5763707676394,6
222,Delaware,"40.895451,-75.06752",10753.85515872854,416
223,Denville,"40.886149,-74.48704000000002",6944.224201606969,390
224,Flanders,"40.84405,-74.70134",4899.833080366149,305
225,Glasser,"41.12831,-74.678956",140.51619840152227,0
226,Great Meadows,"40.886474,-74.90089",1985.6401417475017,26
227,Greendell,"41.12831,-74.678956",287.9949440147219,0
228,Hackettstown,"40.861748,-74.83054",3657.3360583537683,247
229,Hibernia,"40.940301,-74.49616999999998",702.6445723683364,19
230,Hopatcong,"40.937206,-74.66147",6065.468972281222,383
231,Hope,"40.919658,-74.984628",6580.063990272971,175
232,Ironia,"40.867331,-74.57826899999998",477.49864710096347,32
233,Johnsonburg,"40.966266,-74.87979",1906.910454416778,6
234,Kenvil,"40.88038,-74.62009",2241.3305928621394,214
235,Lafayette,"41.09415900000001,-74.69036",7516.586962974097,351
236,Lake Hopatcong,"40.963959,-74.61414",6065.468972281222,357
237,Landing,"40.908198,-74.65749",2994.919342574777,266
238,Layton,"41.172968,-74.88301",530.4763732865787,6
239,Ledgewood,"40.876349,-74.65769",2951.5734675881404,292
240,Long Valley,"40.788599,-74.78295",4296.9852148500395,234
241,Middleville,"41.12831,-74.678956",187.2057619094558,0
242,Mount Arlington,"40.919498,-74.63559000000002",3233.01532211107,279
243,Netcong,"40.897398,-74.70300999999998",1524.337784437222,188
244,Newton,"41.0714,-74.80199",2615.5676951682235,58
245,Oxford,"40.815107,-74.96802",4167.427084398625,65
246,Port Murray,"40.783175,-74.90934",6209.321425504284,234
247,Rockaway,"40.926798,-74.50624",2284.641470654757,78
248,Randolph,"40.847649,-74.5748",6735.260554819175,390
249,Schooleys Mountain,"40.810362,-74.81931800000002",388.11894529812594,13
250,Sparta,"41.035384,-74.63557",1619.9268917006382,195
251,Stanhope,"40.917054,-74.71053",2161.4291353551484,188
252,Stillwater,"41.043858,-74.871981",9093.968344090354,260
253,Succasunna,"40.855549,-74.65250999999998",4780.063274866183,344
254,Swartswood,"41.10289,-74.850759",128.03068351142358,0
255,Mount Tabor,"40.872866,-74.47843",708.7953882643146,65
256,Tranquility,"40.955934,-74.788108",423.26115424539506,6
257,Vienna,"40.864844,-74.897002",2647.1077313702067,45
258,Wallpack Center,"41.125646,-74.917711",9539.556689816396,201
259,Washington,"40.753753,-74.99616999999998",2057.9179259867888,162
260,Wharton,"40.913298,-74.58246",2143.7676069148515,188
261,Summit,"40.714501,-74.3633",3981.2598609955444,351
262,Basking Ridge,"40.6789,-74.57039",3084.567791003763,182
263,Bedminster,"40.652301,-74.653",7767.5504957299445,357
264,Berkeley Heights,"40.675112,-74.43459",4250.494100783773,312
265,Bernardsville,"40.72344,-74.57753000000002",5317.577889980283,305
266,Brookside,"40.800353,-74.57178499999998",1287.3493816500577,19
267,Cedar Knolls,"40.821149,-74.45121",2528.013831245359,357
268,Chatham,"40.7332,-74.39735999999998",2312.77676128612,221
269,Chester,"40.786549,-74.68799",1964.0101468173302,188
270,Far Hills,"40.696601,-74.63781",4155.617569191898,169
271,Florham Park,"40.77835,-74.39009",4406.884864025673,377
272,Gillette,"40.683934,-74.47079000000002",3847.1099064223263,260
273,Gladstone,"40.72265,-74.67432",3428.071372406455,104
274,Green Village,"40.739333,-74.45631",1801.2324666336478,26
275,East Hanover,"40.820012,-74.36474",4846.317818645205,390
276,Liberty Corner,"40.655399,-74.586151",5308.105561793836,279
277,Lyons,"40.566553000000006,-74.599801",4800.0,383
278,Madison,"40.75875,-74.41609",3031.7267062215947,292
279,Mendham,"40.782767,-74.59529",3600.3250087251527,175
280,Millington,"40.672823,-74.52011",3540.7770799742866,234
281,Greystone Park,"40.842399,-74.48223",4800.0,416
282,Morris Plains,"40.842399,-74.48223",2385.748097775387,260
283,Morristown,"40.79215,-74.48559",2853.306737082332,383
284,Mount Freedom,"40.813281,-74.57267",1413.2371348385914,71
285,New Providence,"40.698268,-74.40225",2942.650461526675,266
286,New Vernon,"40.733739,-74.48850999999998",2820.2201104024257,32
287,Peapack,"40.707505,-74.65657",3428.071372406455,143
288,Pluckemin,"40.642491,-74.639597",1320.0627134996,97
289,Pottersville,"40.713675,-74.72465",1208.9034283785052,0
290,Stirling,"40.672968,-74.49171",2943.874515432035,201
291,Whippany,"40.821482,-74.42648",2411.1655361362923,221
292,Alloway,"39.559426,-75.3631",9355.994875232853,143
293,Cherry Hill,"39.932279,-75.02266",7950.158929863289,416
294,Atco,"39.769357,-74.87264",7832.506644305112,351
295,Barnegat,"39.759581,-74.27398000000002",13809.912470335528,383
296,Barnegat Light,"39.75196,-74.11074",1699.711380276214,97
297,Barrington,"39.868013,-75.05424000000002",2132.667421853171,273
298,Beach Haven,"39.614596,-74.2005",2662.862681477672,104
299,Berlin,"39.779582,-74.9365",3097.2626685030737,240
300,Beverly,"40.058211,-74.91404",1199.8091458569568,78
301,Birmingham,"39.978635,-74.71323000000002",1582.983481573912,19
302,Blackwood,"39.78461400000001,-75.05678",1729.1584823723567,136
303,Bridgeport,"39.803646,-75.34421",815.2060125495522,0
304,Browns Mills,"39.960596,-74.5606",3326.113847391631,162
305,Burlington,"40.06834,-74.84463000000002",3062.588648486501,299
306,Cedar Brook,"39.80237,-74.938259",156.15217747921477,58
307,Chatsworth,"39.777314,-74.5354",1650.8707979461053,6
308,Clarksboro,"39.800958,-75.2211",1278.5989931600968,39
309,Clementon,"39.810485,-74.99574",2030.2618369652103,201
310,Columbus,"40.079952,-74.70684",10796.405517635372,409
311,Deepwater,"39.683577,-75.48931999999998",680.4386037067532,78
312,Ewan,"39.701526,-75.162903",354.72155278914374,0
313,Gibbsboro,"39.833847,-74.96899",2255.943714565957,221
314,Gibbstown,"39.824159,-75.28187",2424.3341646403287,97
315,Glassboro,"39.700008,-75.11950999999998",5858.603199259158,357
316,Glendora,"39.840463,-75.0687",1775.928064800295,188
317,Gloucester City,"39.891113,-75.11836",2526.1820384654625,299
318,Bellmawr,"39.867013,-75.09161999999998",3058.989745090144,364
319,Grenloch,"39.781264,-75.0609",852.185732351142,65
320,Haddonfield,"39.895213,-75.04019",2900.8335186651716,390
321,Haddon Heights,"39.87913,-75.06599",2044.274980631638,253
322,Hainesport,"39.985662,-74.83044",4072.128123284985,312
323,Hammonton,"39.625291,-74.77705",11318.880412016035,383
324,Hancocks Bridge,"39.481009,-75.50618",600.5810996508718,0
325,Harrisonville,"39.685445,-75.2669",820.1546036596002,6
326,Jobstown,"40.038339,-74.6806",2169.304429628385,19
327,Juliustown,"40.018503,-74.66656",2090.1138603982045,19
328,Voorhees,"39.851969,-74.96128",5905.581814787987,422
329,Lawnside,"39.866513,-75.03197",1871.017955061388,221
330,Willingboro,"40.029011,-74.88257",4766.066929410355,286
331,Lumberton,"39.967013,-74.80666",5756.946450155957,377
332,Magnolia,"39.85478,-75.03671",1407.4210786459919,201
333,Manahawkin,"39.707575,-74.25933",3027.985503379271,175
334,Mantua,"39.785785,-75.17761",6827.226902967494,364
335,Maple Shade,"39.952212,-74.99464",3402.2985259975553,286
336,Marlton,"39.88488,-74.90416",3113.589820946345,286
337,Mount Laurel,"39.949446,-74.90342",7511.146127638733,396
338,Medford,"39.865272,-74.8185",9605.10519627546,409
339,Mickleton,"39.785219,-75.25304",2399.7540501214453,13
340,Moorestown,"39.968962,-74.9489",6742.941822106901,396
341,Mount Ephraim,"39.884263,-75.0923",1552.944963060648,208
342,Mount Holly,"39.991562,-74.79746999999998",2395.236605479961,247
343,Mount Royal,"39.807684,-75.20496",2266.4546909069068,91
344,Mullica Hill,"39.716939,-75.21987",1967.6976682013715,65
345,National Park,"39.867158,-75.1802",1872.0687979209433,91
346,New Lisbon,"39.961921,-74.63687",278.5838678612571,6
347,Palmyra,"40.00278,-75.02626",2533.7801432990404,286
348,Paulsboro,"39.833156,-75.23773",2606.2022642587954,201
349,Pedricktown,"39.740353000000006,-75.41261999999998",1711.8193336077268,6
350,Pemberton,"39.961183,-74.66266",1146.9790362834613,13
351,Penns Grove,"39.712593,-75.46906",1418.6573614902782,65
352,Pennsville,"39.645377,-75.51923000000002",8308.978892260655,383
353,Pitman,"39.730964,-75.13009",2352.0935214853816,266
354,Quinton,"39.546172,-75.41367",8885.139306174166,156
355,Rancocas,"40.010461,-74.86762",669.1727772379306,26
356,Richwood,"39.716194,-75.17326",603.5597374462592,13
357,Riverside,"40.029361,-74.9541",1911.7108846277672,253
358,Riverton,"39.862433,-74.72507900000002",1718.6113391167057,26
359,Runnemede,"39.850013,-75.0767",2620.9044613539318,279
360,Salem,"39.549912,-75.43943",2443.361680856885,84
361,Sewell,"39.74953,-75.10637",1427.5362663929384,84
362,Sicklerville,"39.741385,-74.99035",2948.962500867192,195
363,Somerdale,"39.842613,-75.02496",2148.283015731603,279
364,Stratford,"39.829014,-75.01371",2309.0668899615453,292
365,Swedesboro,"39.753088,-75.32687",1529.2316071533999,130
366,Thorofare,"39.849156,-75.18159",2324.806248574975,221
367,Tuckerton,"39.59899,-74.36573",2893.761567425497,208
368,Vincentown,"39.871699,-74.70528",1317.687006503288,0
369,Waterford Works,"39.722622,-74.8503",4800.0,136
370,Wenonah,"39.799347,-75.15202",1547.5266988242759,84
371,West Berlin,"39.807695,-74.93392",3105.250944059638,273
372,West Creek,"39.658781,-74.28673",4800.0,214
373,Westville,"39.861413,-75.13284",2278.3742821185147,221
374,Williamstown,"39.647598,-74.95926999999998",3641.7297586344125,149
375,Winslow,"39.656976,-74.86043000000002",13442.232392832682,383
376,Deptford,"39.830313,-75.13221",6713.366842738611,403
377,Woodbury,"39.830313,-75.13221",2302.029873176946,201
378,Woodbury Heights,"39.816063,-75.15321",1706.0998367291882,175
379,Woodstown,"39.637838,-75.32396",1737.5422212233202,91
380,Camden,"39.80237,-74.938259",4938.6088369776935,383
381,Haddon Township,"39.918663,-75.10976",3479.454379844878,429
382,Audubon,"39.892213,-75.07212",2038.950812682682,305
383,Oaklyn,"39.908163,-75.08618",1326.1460145249425,195
384,Collingswood,"39.915263,-75.06401",2090.651514440583,273
385,Merchantville,"39.949979,-75.05024",1424.1073757925476,201
386,Pennsauken,"39.966812,-75.05681",6286.967672469687,416
387,Absecon,"39.457517,-74.50914",4690.272252545268,299
