Municipal ID,Rank,Zip,Latitude,Longitude,EduScore
1921,359,7461,41.1998479,-74.6461236,330
1922,375,7462,41.1946438,-74.6252779,313
2001,17,7922,40.6871612,-74.3868788,383
2002,56,7066,40.622651,-74.312659,241
2003,64,7016,40.6620994,-74.3132307,307
2004,90,7202.714286,40.6584693,-74.21271236,115
2007,141,7205,40.6913258,-74.2360149,89
2008,164,7033,40.6797075,-74.2955015,94
2009,174,7036,40.6347422,-74.2650663,103
2011,227,7974,40.7006081,-74.4087203,482
2012,305.5,7060.75,40.61043065,-74.4293738,135
2013,315,7065,40.6108308,-74.2941291,56
2014,325,7203,40.653543,-74.2616738,53
2015,326,7204,40.6660149,-74.2713821,213
2016,334.5,7076,40.62388315,-74.3617067,493
2017,355,7081,40.7061943,-74.3142961,249
2018,358,7901,40.720822,-74.370617,491
2019,373,7083,40.7035758,-74.2837697,247
2020,401,7090,40.644764,-74.3492799,456
2103,15,7823,40.8249316,-75.0666626,234
2104,20,7825,40.981884,-74.9907997,263
2108,122,7840,40.843186,-74.830174,350
2119,298,8865,40.7145973,-75.1832095,305
2121,386.5,7882,40.75822745,-75.00399665,200
