Rank,School,Address,City,Municipal ID,Zip,District,Full_Address,Latitude,Longitude,EduScore
30,Somerset County Vocational Technical High School,14 Vogt Drive,Bridgewater,1806,8807,Somerset County Vocational and Technical School District,"14 Vogt Drive, Bridgewater, NJ 08807",40.5881365,-74.6045157,413
31,Bridgewater-Raritan High School,600 Garretson Road,Bridgewater,1806,8807,Bridgewater-Raritan Regional School District,"600 Garretson Road, Bridgewater, NJ 08807",40.5928178,-74.633384,412
32,Buena Regional High School,125 Weymouth Road,Buena,104,8310,Buena Regional School District,"125 Weymouth Road, Buena, NJ 08310",39.5363866,-74.9187764,130
33,Burlington Township High School,610 Fountain Avenue,Burlington,305,8016,Burlington Township School District,"610 Fountain Avenue, Burlington, NJ 08016",40.0641382,-74.8353596,190
34,Florence Township Memorial High School,1050 Cedar Lane,Burlington,305,8016,Florence Township School District,"1050 Cedar Lane, Burlington, NJ 08016",40.093616,-74.7934719,153
35,Burlington City High School,100 Blue Devil WAy,Burlington,305,8016,Burlington City Public School District,"100 Blue Devil WAy, Burlington, NJ 08016",40.0701318,-74.8516419,123
36,Butler High School,38 Bartholdi Avenue,Butler,1403,7405,Butler Public School District,"38 Bartholdi Avenue, Butler, NJ 07405",40.9977954,-74.3396392,351
37,Dr. Charles E. Brimm Medical Arts High School,1626 Copewood Street,Camden,408,8103,Camden City School District,"1626 Copewood Street, Camden, NJ 08103",39.9236995,-75.0953337,126
38,Creative Arts Morgan Village Academy,990 Morgan Boulevard,Camden,408,8104,Camden City School District,"990 Morgan Boulevard, Camden, NJ 08104",39.9130015,-75.1097454,106
39,Freedom Prep Charter School,1000 Atlantic AVE,Camden,408,8104,Freedom Prep Charter School,"1000 Atlantic AVE, Camden, NJ 08104",39.9286174,-75.1079913,72
40,Leap Academy University Charter School,130 North Broadway,Camden,408,8102,LEAP Academy University Charter School,"130 North Broadway, Camden, NJ 08102",39.9460794,-75.1183046,64
41,Camden's Promise Charter School,879 Beideman Ave,Camden,408,8105,Camden's Promise Charter School,"879 Beideman Ave, Camden, NJ 08105",39.9575369,-75.0857651,48
42,Woodrow Wilson High School,3100 Federal Street,Camden,408,8105,Camden City School District,"3100 Federal Street, Camden, NJ 08105",39.9466205,-75.0775176,27
43,Camden Big Picture Learning Academy,1725 Park Boulevard,Camden,408,8103,Camden City School District,"1725 Park Boulevard, Camden, NJ 08103",39.9338598,-75.0974265,25
44,Camden High School,1875 Park Boulevard,Camden,408,8103,Camden City School District,"1875 Park Boulevard, Camden, NJ 08103",39.9309249,-75.0953337,6
45,Lower Cape May Regional High School,687 Rt 9,Cape May,502,8204,Lower Cape May Regional School District,"687 Rt 9, Cape May, NJ 08204",38.9770839,-74.9039934,250
46,Middle Township High School,300 East Atlantic Avenue,Cape May Court House,506,8210,Middle Township Public School District,"300 East Atlantic Avenue, Cape May Court House, NJ 08210",39.0753845,-74.8193095,135
47,Cape May County Technical High SChool,188 Crest Haven Rd,Cape May Court House,506,8210,Cape May County Technical High School District,"188 Crest Haven Rd, Cape May Court House, NJ 08210",39.1045804,-74.7984624,104
48,Penns Grove High School,334 Harding Highway,Carneys Point,1702,8069,Penns Grove-Carneys Point Regional School District,"334 Harding Highway, Carneys Point, NJ 08069",39.7158329,-75.4580026,97
49,Carteret High School,199 Washington Avenue,Carteret,1201,7008,Carteret Public School District,"199 Washington Avenue, Carteret, NJ 07008",40.58031,-74.2273786,122
50,Cedar Grove High School,90 Rugby Road,Cedar Grove,704,7009,Cedar Grove Township School District,"90 Rugby Road, Cedar Grove, NJ 07009",40.8513707,-74.2233547,262
51,Chatham High School,255 Lafayette Avenue,Chatham,1404,7928,School District of the Chathams,"255 Lafayette Avenue, Chatham, NJ 07928",40.7315069,-74.4006307,436
52,Cherry Hill High School East,1750 Kresson Rd.,Cherry Hill,409,8003,Cherry Hill School District,"1750 Kresson Rd., Cherry Hill, NJ 08003",39.8766671,-74.9641666,405
53,Cherry Hill High School West,2101 Chapel Ave.,Cherry Hill,409,8034,Cherry Hill School District,"2101 Chapel Ave., Cherry Hill, NJ 08034",39.9296442,-75.0200399,187
54,West Morris Central High School,259 Bartley Road,Chester,1406,7930,West Morris Regional High School District,"259 Bartley Road, Chester, NJ 07930",40.8122949,-74.7292699,461
