Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
200,Essex County Donald M. Payne Senior School of Technology,498-544 West Market St,Newark,7107,40.736101,-74.22509000000001,244
201,Liberty High School,299 Sip Avenue,Jersey City,7306,40.695552,-74.22856,243
202,TEAM Academy Charter School,60 Park Place,Newark,7102,40.736101,-74.22509000000001,242
203,Bogota Junior/Senior High School,2 Henry C Luthin Place,Bogota,7603,40.873876,-74.02769,240
204,Absegami High School,201 S Wrangleboro Road,Galloway,8205,38.963652,-74.92319,239
205,Audubon Junior/Senior High School,350 Edgewood Avenue,Audubon,8106,39.892213,-75.07212,238
206,Lacey Township High School,73 Haines Street,Lanoka Harbor,8734,39.862864,-74.16624,237
207,County Prep High School,525 Montgomery Street,Jersey City,7306,40.695552,-74.22856,235
208,Sayreville War Memorial High School,820 Washington Road,Parlin,8859,40.461851,-74.30343,234
209,Hightstown High School,25 Leshin Lane,Hightstown,8520,40.262809000000004,-74.53246,233
210,Monmouth Regional High School,One Norman J Field Way,Tinton Falls,7724,40.301978999999996,-74.06889,231
211,Passaic County Technical Institute,45 Reinhardt Road,Wayne,7470,40.943608000000005,-74.25004,230
212,Willliamstown High School,700 N Tuckahoe Rd,Williamstown,8094,39.647597999999995,-74.95926999999999,229
213,Arts High School,550 M L King Blvd,Newark,7102,40.736101,-74.22509000000001,228
214,Woodstown High School,140 East Avenue,Woodstown,8098,39.637838,-75.32396,226
215,Jonathan Dayton High School,139 Mountain Ave.,Springfield,7081,40.701801,-74.32216,225
216,Boonton High School,306 Lathrop Avenue,Boonton,7005,40.912797999999995,-74.41516,224
217,Bergenfield High School,80 S Prospect Ave,Bergenfield,7621,40.923747999999996,-73.99879,222
218,New Egypt High School,117 Evergreen Road,New Egypt,8533,40.075185,-74.48433,221
219,Bordentown Regional High School,318 Ward Ave,Bordentown,8505,40.132784,-74.71778,220
220,Saddle Brook Middle/High School,355 Mayhill Street,Saddle Brook,7663,40.904131,-74.09474,219
221,Colonia High School,East Street,Colonia,7067,40.591653,-74.31341,217
222,Toms River High School South,55 Hyers Street,Toms River,8753,39.974584,-74.15141,216
223,Toms River High School East,1225 Raider Way,Toms River,8753,39.974584,-74.15141,215
224,Brick Township Memorial High School,2001 Lanes Mill Rd,Brick,8724,40.042479,-74.123,213
225,Gateway Regional High School,775 Tanyard Rd,Woodbury Hts,8096,39.830313000000004,-75.13221,212
226,Delran High School,50 Hartford Road,Delran,8075,40.029361,-74.9541,211
226,Wood-Ridge Junior/Senior High School,258 Hackensack St,Wood Ridge,7075,40.847638,-74.08754,211
228,New Milford High School,330 River Road,New Milford,7646,40.936211,-74.0188,208
229,Cliffside Park High School,64 Riverview Avenue,Cliffside Park,7010,40.82154,-73.98949,207
230,International High School,200 Grand Street,Paterson,7501,40.912198,-74.16863000000001,206
231,Cicely L. Tyson Community Middle/High School,35 Winans Street,East Orange,7017,40.770933,-74.20589,204
232,David Brearley Middle/High School,401 Monroe Avenue,Kenilworth,7033,40.674652,-74.2908,203
233,Fort Lee High School,3000 Lemoine Ave,Fort Lee,7024,40.849879,-73.97501,202
234,Clayton High School,55 Pop Kramer Blvd,Clayton,8312,39.655964000000004,-75.08736,201
235,Pitman High School,225 Linden Avenue,Pitman,8071,39.730964,-75.13009,199
236,South Hunterdon Regional High School,301 Mt Airy Harbourton Road,Lambertville,8530,40.375039,-74.93184000000001,198
237,Passaic Valley Regional High School,170 East Main Street,Little Falls,7424,40.886628,-74.21405,197
238,Hawthorne High School,160 Parmelee Avenue,Hawthorne,7506,40.957498,-74.15626999999999,195
239,Bayonne High School,669 Avenue A,Bayonne,7002,40.666552,-74.11768000000001,194
240,Nutley High School,300 Franklin Ave,Nutley,7110,40.8196,-74.15876999999999,193
241,Woodbridge High School,25 Samuel Lupo Place,Woodbridge,7095,40.557103999999995,-74.28316,192
242,Red Bank Regional High School,101 Ridge Road,Little Silver,7739,40.33517,-74.04059000000001,190
243,Wallington Junior Senior High School,234 Main Ave,Wallington,7057,40.852931,-74.10925,189
244,Rancocas Valley Regional High School,520 Jacksonville Road,Mount Holly,8060,39.991562,-74.79746999999999,188
245,Morristown High School,50 Early Street,Morristown,7960,40.79215,-74.48559,186
246,Kearny High School,336 Devon St,Kearny,7032,40.763051000000004,-74.13718,185
247,Haddon Township High School,406 Memorial Avenue,Westmont,8108,39.915263,-75.06401,184
248,Hamilton East - Steinert,2900 Klockner Road,Hamilton,8690,40.003861,-74.61775,183
249,Wallkill Valley Regional High School,10 Grumm Road,Hamburg,7419,41.156187,-74.57094000000001,181
250,Sussex County Technical School,105 North Church Road,Sparta,7871,41.035384,-74.63557,180
251,Academy for Urban Leadership Charter School,612 Amboy Ave,Perth Amboy,8861,40.520105,-74.27708,179
252,North Bergen High School,7417 Kennedy Blvd,North Bergen,7047,40.7946,-74.01963,177
253,School of Government and Public Administration,150 Park Avenue,Paterson,7501,40.912198,-74.16863000000001,176
254,Manville High School,1100 Brooks Boulevard,Manville,8835,40.538903000000005,-74.59222,175
255,Butler High School,38 Bartholdi Avenue,Butler,7405,40.99313,-74.35893,174
256,Maple Shade High School,180 Frederick Ave,Maple Shade,8052,39.952212,-74.99464,172
257,Ridgefield Park Junior Senior High School,1 Ozzie Nelson Drive,Ridgefield Park,7660,40.856749,-74.02278000000001,171
258,Barnegat High School,180 Bengal Blvd,Barnegat,8005,39.759581,-74.27398000000001,170
259,Gloucester City Junior Senior High School,1300 Market Street,Gloucester City,8030,39.891113,-75.11836,168
260,Bloomfield High School,160 Broad Street,Bloomfield,7003,40.803000000000004,-74.18895,167
261,Deptford Township High School,575 S Fox Run Rd,Deptford,8096,39.830313000000004,-75.13221,166
262,Triton Regional High School,250 Schubert Ave,Runnemede,8078,39.850013,-75.0767,165
263,Phillipsburg High School,1 Stateliner Blvd.,Phillipsburg,8865,40.689122999999995,-75.17243,163
264,Teaneck High School,100 Elizabeth Ave,Teaneck,7666,40.890964000000004,-74.01115,162
265,Egg Harbor Township High School,24 High School Drive,Egg Harbor Township,8234,39.398171999999995,-74.59666999999999,161
266,West Orange High School,51 Conforti Ave,West Orange,7052,40.78865,-74.25541,159
267,Florence Township Memorial High School,1050 Cedar Lane,Burlington,8016,40.06834,-74.84463000000001,158
268,Weehawken High School,53 Liberty Place,Weehawken,7086,40.769796,-74.022351,157
269,Passaic County-Manchester Regional High School,70 Church Street,Haledon,7508,40.945198,-74.18285999999999,156
270,South Amboy Middle/High School,200 Governor Harold G Hoffman,South Amboy,8879,40.469606,-74.27669,154
271,Cedar Creek High School,1701 New York Ave.,Egg Harbor City,8215,39.548049,-74.62171,153
272,Burlington County Institute of Technology - Westampton,695 Woodlane Road,Westampton,8060,39.991562,-74.79746999999999,152
273,Manchester Township High School,101 S Colonial Dr,Manchester,8759,39.943540999999996,-74.36949,150
274,Ridgefield Memorial High School,555 Walnut St,Ridgefield,7657,40.832421000000004,-74.00399,149
275,Palisades Park Junior-Senior High School,Veterans Plaza,Palisades Park,7650,40.845742,-73.99479000000001,148
276,Henry P. Becton Regional High School,120 Paterson Avenue,East Rutherford,7073,40.830158000000004,-74.09707,147
277,Lodi High School,99 Putnam Street,Lodi,7644,40.877998999999996,-74.08265,145
278,Pennsville Memorial High School,110 S Broadway,Pennsville,8070,39.645377,-75.51923000000001,144
279,Memorial Senior High School,375 River Dr,Elmwood Park,7407,40.905639,-74.1199,143
280,Pinelands Regional High School,565 Nugentown Road,Little Egg Harbor,8087,39.59899,-74.36573,141
281,Buena Regional High School,125 Weymouth Road,Buena,8310,39.522686,-74.89684,140
282,Brick Township High School,346 Chambers Bridge Rd,Brick,8723,40.042479,-74.123,139
283,Middlesex County Vocational School Perth Amboy,457 High Street,Perth Amboy,8861,40.520105,-74.27708,138
284,Sterling High School,501 South Warwick Road,Somerdale,8083,39.842613,-75.02496,136
285,Henry Hudson Regional School,1 Grand Tour,Highlands,7732,40.404474,-73.9904,135
286,Union High School,2350 North Third Street,Union,7083,40.695401000000004,-74.26933000000001,134
287,Hackensack High School,First & Beech Streets,Hackensack,7601,40.888678000000006,-74.0488,132
288,The Barack Obama Green Charter High School,35 Watchung ave,Plainfield,7060,40.620102,-74.42481,131
289,South River High School,11 Montgomery Street,South River,8882,40.445006,-74.38179000000001,130
290,Overbrook Senior High School,1200 Turnersville Road,Pine Hill,8021,39.810485,-74.99574,129
291,Central Regional High School,509 Forest Hills Parkway,Bayville,8721,39.902851,-74.16037,127
292,Plainfield Academy For The Arts & Advanced Studies,1700 West Front St,Plainfield,7063,40.620102,-74.42481,126
293,Belleville High School,100 Passaic Ave,Belleville,7109,40.7935,-74.16144,125
294,Collingswood High School,424 Collings Ave,Collingswood,8108,39.915263,-75.06401,123
295,Glassboro High School,560 Joseph L Bowe Blvd,Glassboro,8028,39.700008000000004,-75.11950999999999,122
296,Leap Academy University Charter School,130 North Broadway,Camden,8102,39.80237,-74.938259,121
297,Keyport High School,351 Broad Street,Keyport,7735,40.439714,-74.19374,120
298,Memorial High School,5501 Park Ave,West New York,7093,40.7895,-74.01223,118
299,Foundation Academy Charter School,363 West State Street,Trenton,8608,40.280530999999996,-74.712018,117
300,Hopatcong High School,2A Windsor Ave,Hopatcong,7843,40.937206,-74.66147,116
301,Hamilton North - Nottingham,1055 Klockner Road,Hamilton,8619,40.280530999999996,-74.712018,114
302,Middlesex County Vocational School Piscataway,21 Suttons Lane,Piscataway,8854,40.555355,-74.46094000000001,113
303,Lindenwold High School,801 Egg Harbor Road,Lindenwold,8021,39.810485,-74.99574,112
304,Ewing High School,900 Parkway Ave,Ewing,8618,40.280530999999996,-74.712018,111
