,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
6,MIDDLE TWP,40.502477,-74.650023,169,"20,774,550","122,926"
7,NORTH WILDWOOD CITY,40.51057,-74.72472,402,"37,410,810","93,062"
8,OCEAN CITY CITY,40.51057,-74.72472,"1,064","292,229,826","274,652"
9,SEA ISLE CITY CITY,40.430006,-74.417344,279,"71,425,750","256,006"
10,STONE HARBOR BORO,40.500254,-74.4257,139,"68,301,356","491,377"
11,UPPER TWP,40.500254,-74.4257,135,"21,288,691","157,694"
12,WEST CAPE MAY BORO,40.500254,-74.4257,13,"2,049,800","157,677"
13,WEST WILDWOOD BORO,40.500254,-74.4257,34,"3,065,924","90,174"
14,WILDWOOD CITY,40.500254,-74.4257,109,"8,595,043","78,854"
15,WILDWOOD CREST BORO,40.500254,-74.4257,189,"26,988,950","142,799"
16,WOODBINE BORO ,40.500254,-74.4257,3,"258,000","86,000"
1,BRIDGETON CITY,40.912798,-74.41516,130,"8,867,500","68,212"
2,COMMERCIAL TWP,40.879699,-74.14263,63,"3,070,080","48,731"
3,DEERFIELD TWP,40.656302,-74.30371,14,"1,500,800","107,200"
4,DOWNE TWP,40.656302,-74.30371,27,"1,944,500","72,019"
5,FAIRFIELD TWP,40.827499,-74.28091,23,"1,901,000","82,652"
6,GREENWICH TWP,40.80495,-74.2047,5,"552,000","110,400"
7,HOPEWELL TWP,40.744851,-74.03294,32,"3,138,400","98,075"
8,LAWRENCE TWP,40.744851,-74.03294,16,"1,441,375","90,086"
9,MAURICE RIVER TWP,40.502477,-74.650023,15,"1,551,800","103,453"
10,MILLVILLE CITY,40.451105,-74.43938,227,"18,934,519","83,412"
11,SHILOH BORO,40.430006,-74.417344,2,"121,000","60,500"
12,STOW CREEK TWP,40.500254,-74.4257,2,"194,900","97,450"
13,UPPER DEERFIELD TWP,40.500254,-74.4257,41,"4,330,500","105,622"
14,VINELAND CITY,40.500254,-74.4257,398,"41,028,458","103,087"
1,BELLEVILLE TWP,40.666552,-74.11768,449,"61,545,916","137,073"
2,BLOOMFIELD TWP,40.803,-74.18895,635,"103,262,186","162,618"
3,CALDWELL TWP,40.848999,-74.27917,113,"27,145,490","240,226"
4,CEDAR GROOVE TWP,40.582504,-74.22997,120,"36,366,400","303,053"
5,EAST ORANGE CITY,40.770933,-74.20589,413,"46,790,591","113,294"
