2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
13,GIBBSBORO BORO,43,"10,988,950","255,557"
14,GLOUCESTER CITY,263,"28,695,060","109,107"
15,GLOUCESTER TWP,"1,238","249,493,720","201,530"
16,HADDON TWP,252,"62,968,692","249,876"
17,HADDONFIELD BORO,189,"98,772,425","522,605"
18,HADDON HEIGHTS BORO,107,"30,784,917","287,710"
19,HI-NELLA BORO,7,"1,175,000","167,857"
20,LAUREL SPRINGS BORO,24,"5,092,200","212,175"
21,LAWNSIDE BORO,33,"5,214,300","158,009"
22,LINDENWOLD BORO,320,"41,342,091","129,194"
23,MAGNOLIA BORO,72,"12,288,893","170,679"
24,MERCHANTVILLE BORO,56,"12,213,300","218,095"
25,MOUNT EPHRAIN BORO ,76,"12,638,129","166,291"
26,OAKLYN BORO,75,"14,544,250","193,923"
27,PENNSAUKEN TWP,635,"104,629,905","164,772"
28,PINE HILL BORO,259,"40,998,233","158,294"
29,PINE VALLEY BORO,0,0,N/A
30,RUNNEMEDE BORO,119,"21,127,935","177,546"
31,SOMERDALE BORO,84,"12,346,289","146,980"
32,STRATFORD BORO,121,"21,787,032","180,058"
33,TAVISTOCK BORO,0,0,N/A
34,VOORHEES TWP,175,"50,733,680","286,400"
35,WATERFORD TWP,169,"34,886,514","206,429"
36,WINSLOW TWP,913,"173,824,841","190,389"
37,WOODLYNNE BORO,83,"8,480,086","102,170"
,CAMDEN COUNTY,"8,104","1,630,606,049","201,210"
,,,,
05,CAPE MAY COUNTY,,,
01,AVALON BORO,71,"124,587,800","1,754,758"
02,CAPE MAY CITY,81,"49,814,300","614,991"
03,CAPE MAY POINT BORO,17,"13,318,250","783,426"
04,DENNIS TWP,26,"7,934,400","305,169"
05,LOWER TWP,549,"159,025,953","289,665"
06,MIDDLE TWP,268,"81,021,444","302,319"
07,NORTH WILDWOOD CITY,92,"35,320,350","383,917"
08,OCEAN CITY CITY,767,"556,579,995","725,658"
09,SEA ISLE CITY CITY,161,"127,314,030","790,770"
10,STONE HARBOR BORO,97,"146,757,177","1,512,961"
11,UPPER TWP,72,"23,735,300","329,657"
12,WEST CAPE MAY BORO,27,"15,960,900","591,144"
13,WEST WILDWOOD BORO,27,"9,998,300","370,307"
14,WILDWOOD CITY,271,"88,187,216","325,414"
15,WILDWOOD CREST BORO,177,"80,788,860","456,434"
16,WOODBINE BORO ,14,"3,071,800","219,414"
,CAPE MAY COUNTY,"2,717","1,523,416,075","560,698"
,,,,
06,CUMBERLAND COUNTY,,,
01,BRIDGETON CITY,190,"16,756,970","88,195"
02,COMMERCIAL TWP,99,"7,957,620","80,380"
03,DEERFIELD TWP,13,"2,802,750","215,596"
04,DOWNE TWP,40,"5,132,600","128,315"
05,FAIRFIELD TWP,37,"4,882,892","131,970"
06,GREENWICH TWP,8,"1,538,300","192,288"
07,HOPEWELL TWP,49,"8,626,100","176,043"
08,LAWRENCE TWP,20,"2,699,729","134,986"
09,MAURICE RIVER TWP,27,"4,168,950","154,406"
10,MILLVILLE CITY,438,"63,057,342","143,967"
11,SHILOH BORO,13,"1,908,900","146,838"
12,STOW CREEK TWP,9,"1,364,870","151,652"
13,UPPER DEERFIELD TWP,76,"12,874,450","169,401"
14,VINELAND CITY,679,"122,988,490","181,060"
,CUMBERLAND COUNTY,"1,698","256,759,963","151,213"
,,,,
07,ESSEX COUNTY,,,
01,BELLEVILLE TWP,493,"157,836,372","320,155"
02,BLOOMFIELD TWP,540,"198,139,297","366,925"
03,CALDWELL TWP,119,"53,494,200","449,531"
04,CEDAR GROOVE TWP,122,"66,076,580","541,611"
05,EAST ORANGE CITY,895,"218,529,693","244,167"
06,ESSEX FELLS TWP,34,"44,047,250","1,295,507"
07,FAIRFIELD TWP,88,"52,418,200","595,661"
08,GLEN RIDGE TWP,115,"68,200,559","593,048"
09,IRVINGTON TWP,862,"195,809,612","227,157"
10,LIVINGSTON TWP,420,"269,967,323","642,779"
11,MAPLEWOOD TWP,454,"233,220,711","513,702"
12,MILLBURN TWP,331,"393,576,686","1,189,053"
13,MONTCLAIR TWP,529,"329,558,601","622,984"
14,NEWARK CITY,"3,083","925,021,889","300,040"
15,NORTH CALDWELL TWP,80,"57,548,261","719,353"
16,NUTLEY TWP,117,"50,065,800","427,913"
17,ORANGE CITY TWP,165,"43,032,668","260,804"
18,ROSELAND BORO,75,"41,871,933","558,292"
19,SOUTH ORANGE VILLAGE TWP,288,"170,527,931","592,111"
20,VERONA BORO TWP,287,"128,135,892","446,467"
21,WEST CALDWELL TWP,125,"62,603,498","500,828"
22,WEST ORANGE TWP,867,"379,154,988","437,318"
 ,ESSEX COUNTY,"10,089","4,138,837,944","410,233"
,,,,
08,GLOUCESTER COUNTY,,,
01,CLAYTON BORO,122,"21,441,231","175,748"
02,DEPTFORD TWP,456,"94,204,602","206,589"
03,EAST GREENWICH TWP,95,"28,365,799","298,587"
04,ELK TWP,44,"9,493,540","215,762"
05,FRANKLIN TWP,186,"43,816,628","235,573"
06,GLASSBORO BORO,254,"50,197,132","197,627"
07,GREENWICH TWP,67,"12,385,456","184,858"
08,HARRISON TWP,153,"52,492,459","343,602"
09,LOGAN TWP,127,"26,660,593","209,926"
10,MANUTA TWP,255,"57,697,141","226,263"
11,MONROE TWP,545,"128,934,384","236,577"
12,NATIONAL PARK BORO,55,"8,776,299","159,569"
13,NEWFIELD BORO,20,"3,644,200","182,210"
14,PAULSBORO BORO,117,"13,721,899","117,281"
15,PITMAN BORO,149,"28,471,734","191,085"
16,SOUTH HARRISON TWP,26,"10,772,250","414,317"
17,SWEDESBORO BORO,36,"5,961,590","165,600"
18,WASHINGTON TWP,838,"201,618,002","240,594"
19,WENONAH BORO,31,"10,223,253","329,782"
20,WEST DEPTFORD TWP,269,"54,800,746","203,720"
21,WESTVILLE BORO,72,"11,287,270","156,768"
22,WOODBURY CITY,173,"30,914,485","178,696"
23,WOODBURY HEIGHTS BORO,57,"12,188,120","213,827"
24,WOOLWICH TWP,105,"39,634,791","377,474"
,GLOUCESTER COUNTY,"4,252","957,703,604","225,236"
,,,,
09,HUDSON COUNTY,,,
01,BAYONNE CITY,554,"205,719,928","371,336"
02,EAST NEWARK BORO,26,"8,841,950","340,075"
03,GUTTENBERG TOWN,186,"77,473,407","416,524"
04,HARRISON TOWN,103,"39,794,000","386,350"
05,HOBOKEN CITY,995,"549,789,777","552,553"
06,JERSEY CITY CITY,"2,654","902,034,432","339,877"
07,KEARNY TOWN,307,"113,004,790","368,094"
08,NORTH BERGEN TWP,594,"229,455,284","386,288"
09,SECAUCUS TOWN,189,"77,601,128","410,588"
10,UNION CITY CITY,402,"139,248,568","346,389"
11,WEEHAWKEN TWP,104,"59,547,600","572,573"
12,WEST NEW YORK TOWN,305,"111,536,715","365,694"
,HUDSON COUNTY,"6,419","2,514,047,579","391,657"
,,,,
10,HUNTERDON COUNTY,,,
01,ALEXANDRIA TWP,50,"24,311,600","486,232"
02,BETHLEHAM TWP,53,"28,606,450","539,744"
03,BLOOMSBURY BORO,4,"1,035,000","258,750"
04,CALIFON BORO,2,"820,000","410,000"
05,CLINTON TOWN,19,"7,799,173","410,483"
06,CLINTON TWP,81,"35,523,710","438,564"
07,DELAWARE TWP,40,"23,964,300","599,108"
08,EAST AMWELL TWP,38,"17,846,550","469,646"
09,FLEMINGTON BORO,20,"6,698,370","334,919"
