2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
06,GREENWICH TWP,1 ,"240,000 ","240,000 "
07,HOPEWELL TWP,33 ,"6,003,400 ","181,921 "
08,LAWRENCE TWP,21 ,"3,699,700 ","176,176 "
09,MAURICE RIVER TWP,11 ,"1,780,880 ","161,898 "
10,MILLVILLE CITY,208 ,"28,954,335 ","139,204 "
11,SHILOH BORO,3 ,"506,000 ","168,667 "
12,STOW CREEK TWP,7 ,"1,233,000 ","176,143 "
13,UPPER DEERFIELD TWP,50 ,"9,468,500 ","189,370 "
14,VINELAND CITY,371 ,"63,839,070 ","172,073 "
,CUMBERLAND COUNTY,831 ,"130,169,123 ","156,642 "
,,,,
07,ESSEX COUNTY,,,
01,BELLEVILLE TWP,188 ,"50,496,001 ","268,596 "
02,BLOOMFIELD TWP,403 ,"136,508,104 ","338,730 "
03,CALDWELL BORO TWP,72 ,"30,343,900 ","421,443 "
04,CEDAR GROVE TWP,111 ,"58,336,300 ","525,552 "
05,EAST ORANGE CITY,231 ,"48,772,800 ","211,138 "
06,ESSEX FELLS TWP,35 ,"37,326,978 ","1,066,485 "
07,FAIRFIELD TWP,67 ,"35,394,827 ","528,281 "
08,GLEN RIDGE BORO,86 ,"62,435,710 ","725,997 "
09,IRVINGTON TWP,90 ,"15,685,025 ","174,278 "
10,LIVINGSTON TWP,390 ,"266,118,816 ","682,356 "
11,MAPLEWOOD TWP,289 ,"174,906,677 ","605,213 "
12,MILLBURN TWP,296 ,"389,412,903 ","1,315,584 "
13,MONTCLAIR TWP,133 ,"107,459,661 ","807,967 "
14,NEWARK CITY,"1,103 ","287,826,352 ","260,949 "
15,NORTH CALDWELL TWP,80 ,"54,705,678 ","683,821 "
16,NUTLEY TWP,223 ,"89,102,984 ","399,565 "
17,ORANGE CITY TWP,59 ,"12,661,300 ","214,598 "
18,ROSELAND BORO,41 ,"23,025,575 ","561,599 "
19,SOUTH ORANGE VILLAGE TW,219 ,"141,162,933 ","644,580 "
20,VERONA TWP,197 ,"84,930,923 ","431,121 "
21,WEST CALDWELL TWP,80 ,"40,298,710 ","503,734 "
22,WEST ORANGE TWP,462 ,"188,406,704 ","407,807 "
,ESSEX COUNTY,"4,855 ","2,335,318,861 ","481,013 "
,,,,
08,GLOUCESTER COUNTY,,,
01,CLAYTON BORO,59 ,"10,056,346 ","170,447 "
02,DEPTFORD TWP,250 ,"50,116,441 ","200,466 "
03,EAST GREENWICH TWP,110 ,"33,889,500 ","308,086 "
04,ELK TWP,29 ,"7,522,500 ","259,397 "
05,FRANKLIN TWP,86 ,"19,548,850 ","227,312 "
06,GLASSBORO BORO,154 ,"30,481,690 ","197,933 "
07,GREENWICH TWP,38 ,"6,528,300 ","171,797 "
08,HARRISON TWP,93 ,"34,723,282 ","373,369 "
09,LOGAN TWP,26 ,"5,651,300 ","217,358 "
10,MANTUA TWP,146 ,"32,219,655 ","220,683 "
11,MONROE TWP,98 ,"20,876,594 ","213,026 "
12,NATIONAL PARK BORO,20 ,"3,071,800 ","153,590 "
13,NEWFIELD BORO,15 ,"3,133,858 ","208,924 "
14,PAULSBORO BORO,25 ,"3,032,700 ","121,308 "
15,PITMAN BORO,96 ,"18,961,243 ","197,513 "
16,SO HARRISON TWP,26 ,"9,006,326 ","346,397 "
17,SWEDESBORO BORO,30 ,"5,746,405 ","191,547 "
18,WASHINGTON TWP,516 ,"115,757,045 ","224,335 "
19,WENONAH BORO,16 ,"4,588,434 ","286,777 "
20,WEST DEPTFORD TWP,209 ,"41,898,758 ","200,473 "
21,WESTVILLE BORO,26 ,"3,186,400 ","122,554 "
22,WOODBURY CITY,77 ,"11,915,330 ","154,745 "
23,WOODBURY HEIGHTS BORO,27 ,"5,103,739 ","189,027 "
24,WOOLWICH TWP,147 ,"46,979,922 ","319,591 "
,GLOUCESTER COUNTY,"2,319 ","523,996,418 ","225,958 "
,,,,
09,HUDSON COUNTY,,,
01,BAYONNE CITY,427 ,"154,742,525 ","362,395 "
02,EAST NEWARK BORO,10 ,"3,564,000 ","356,400 "
03,GUTTENBERG TOWN,143 ,"57,521,316 ","402,247 "
04,HARRISON TOWN,60 ,"25,293,900 ","421,565 "
05,HOBOKEN CITY,890 ,"751,991,291 ","844,934 "
