,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
24,MT LAUREL TWP,40.389428,-74.54329,669,"$168,923,542.00 ","252,502"
25,NEW HANOVER TWP,40.51057,-74.72472,4,"$998,000.00 ","249,500"
26,NO HANOVER TWP,40.51057,-74.72472,19,"$6,682,400.00 ","351,705"
27,PALMYRA BORO,40.681694,-74.73624,94,"$14,187,742.00 ","150,933"
28,PEMBERTON BORO,40.461851,-74.30343,6,"$1,309,500.00 ","218,250"
29,PEMBERTON TWP,40.461851,-74.30343,79,"$13,206,800.00 ","167,175"
30,RIVERSIDE TWP,40.563654,-74.949409,62,"$10,027,828.00 ","161,739"
31,RIVERTON BORO,40.563654,-74.949409,23,"$6,802,462.00 ","295,759"
32,SHAMONG TWP,40.430006,-74.417344,57,"$21,004,250.00 ","368,496"
33,SOUTHAMPTON TWP,40.445006,-74.38179,178,"$39,633,916.00 ","222,662"
34,SPRINGFIELD TWP,40.39159,-74.39329,23,"$7,232,950.00 ","314,476"
35,TABERNACLE TWP,40.500254,-74.4257,62,"$19,837,300.00 ","319,956"
36,WASHINGTON TWP,40.500254,-74.4257,3,"$814,000.00 ","271,333"
37,WESTAMPTON TWP,40.500254,-74.4257,101,"$25,495,876.00 ","252,434"
38,WILLINGBORO TWP,40.500254,-74.4257,273,"$42,158,361.00 ","154,426"
39,WOODLAND TWP,40.500254,-74.4257,8,"$1,999,000.00 ","249,875"
40,WRIGHTSTOWN BORO,40.500254,-74.4257,3,"$703,000.00 ","234,333"
1,AUDUBON BORO,39.8909,-75.073,83,"$17,199,880.00 ","207,227"
2,AUDUBON PARK BORO,39.8965,-75.0877,0,0,0
3,BARRINGTON BORO,40.578996,-74.27987,27,"$5,742,800.00 ","212,696"
4,BELLMAWR BORO,40.666552,-74.11768,86,"$13,755,215.00 ","159,944"
5,BERLIN BORO,40.666552,-74.11768,77,"$17,524,150.00 ","227,586"
6,BERLIN TWP,40.666552,-74.11768,38,"$6,659,000.00 ","175,237"
7,BROOKLAWN BORO,40.912798,-74.41516,5,"$694,000.00 ","138,800"
8,CAMDEN CITY,40.848999,-74.27917,91,"$7,248,179.00 ","79,650"
9,CHERRY HILL TWNSHP,40.855854,-74.22898,680,"$166,446,037.00 ","244,774"
10,CHESILHURST BORO,40.855854,-74.22898,3,"$438,000.00 ","146,000"
11,CLEMENTON BORO,40.855854,-74.22898,24,"$3,142,750.00 ","130,948"
12,COLLINGSWOOD BORO,40.879699,-74.14263,108,"$24,779,075.00 ","229,436"
13,GIBBSBORO BORO,40.650802,-74.32351,19,"$3,951,300.00 ","207,963"
14,GLOUCESTER CITY,40.80495,-74.2047,46,"$5,475,140.00 ","119,025"
15,GLOUCESTER TWP,40.80495,-74.2047,524,"$99,843,633.00 ","190,541"
16,HADDON TWP,40.80495,-74.2047,144,"$33,246,319.00 ","230,877"
17,HADDONFIELD BORO,40.80495,-74.2047,171,"$87,540,741.00 ","511,934"
18,HADDON HEIGHTS BORO,40.80495,-74.2047,82,"$22,016,249.00 ","268,491"
19,HI NELLA BORO,40.745951,-74.15509,1,"$197,500.00 ","197,500"
20,LAUREL SPRINGS BORO,40.744851,-74.03294,5,"$923,530.00 ","184,706"
21,LAWNSIDE BORO,40.744851,-74.03294,10,"$1,561,000.00 ","156,100"
22,LINDENWOLD BORO,41.007389,-74.04247,72,"$8,195,920.00 ","113,832"
23,MAGNOLIA BORO,40.788599,-74.78295,42,"$6,699,850.00 ","159,520"
24,MERCHANTVILLE BORO,40.502477,-74.650023,26,"$5,152,600.00 ","198,177"
25,MOUNT EPHRAIM BORO,40.389428,-74.54329,39,"$5,912,129.00 ","151,593"
26,OAKLYN BORO,40.51057,-74.72472,37,"$6,436,200.00 ","173,951"
27,PENNSAUKEN TWP,40.461851,-74.30343,145,"$20,931,812.00 ","144,357"
28,PINE HILL BORO,40.689123,-75.17243,14,"$1,953,506.00 ","139,536"
29,PINE VALLEY BORO,40.689123,-75.17243,0,0,0
30,RUNNEMEDE BORO,40.563654,-74.949409,56,"$8,671,700.00 ","154,852"
31,SOMERDALE BORO,40.430006,-74.417344,36,"$5,534,200.00 ","153,728"
32,STRATFORD BORO,40.500254,-74.4257,48,"$7,608,937.00 ","158,520"
33,TAVISTOCK BORO,40.500254,-74.4257,0,0,0
34,VOORHEES TWP,40.500254,-74.4257,315,"$96,080,886.00 ","305,019"
35,WATERFORD TWP,40.500254,-74.4257,79,"$15,103,000.00 ","191,177"
36,WINSLOW TWP,40.500254,-74.4257,322,"$60,588,718.00 ","188,164"
37,WOODLYNNE BORO,40.500254,-74.4257,6,"$409,500.00 ","68,250"
1,AVALON BORO,39.1012,-74.7177,236,"$337,463,933.00 ","1,429,932"
2,CAPE MAY CITY,40.848999,-74.27917,117,"$67,751,488.00 ","579,073"
3,CAPE MAY POINT BORO,40.848999,-74.27917,26,"$19,453,000.00 ","748,192"
4,DENNIS TWP,40.656302,-74.30371,39,"$10,293,124.00 ","263,926"
5,LOWER TWP,40.788599,-74.78295,409,"$118,263,294.00 ","289,152"
6,MIDDLE TWP,40.502477,-74.650023,195,"$54,755,385.00 ","280,797"
7,NORTH WILDWOOD CITY,40.51057,-74.72472,315,"$86,955,554.00 ","276,049"
8,OCEAN CITY CITY,40.51057,-74.72472,665,"$391,984,883.00 ","589,451"
9,SEA ISLE CITY CITY,40.430006,-74.417344,237,"$157,151,572.00 ","663,087"
