2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
 ,ESSEX COUNTY,"9,833","3,579,967,340","364,077",,,
,,,,,,,
08,GLOUCESTER COUNTY,,,,,,
01,CLAYTON BORO,130,"19,371,947","149,015",,,
02,DEPTFORD TWP,437,"79,372,853","181,631",,,
03,EAST GREENWICH TWP,88,"23,323,495","265,040",,,
04,ELK TWP,35,"6,450,375","184,296",,,
05,FRANKLIN TWP,163,"31,629,610","194,047",,,
06,GLASSBORO BORO,289,"50,356,470","174,244",,,
07,GREENWICH TWP,63,"10,109,096","160,462",,,
08,HARRISON TWP,161,"47,328,726","293,967",,,
09,LOGAN TWP,118,"21,189,001","179,568",,,
10,MANUTA TWP,294,"61,467,601","209,073",,,
11,MONROE TWP,444,"89,307,108","201,142",,,
12,NATIONAL PARK BORO,42,"5,337,160","127,075",,,
13,NEWFIELD BORO,24,"4,394,650","183,110",,,
14,PAULSBORO BORO,108,"10,849,390","100,457",,,
15,PITMAN BORO,157,"26,291,311","167,461",,,
16,SOUTH HARRISON TWP,24,"6,985,400","291,058",,,
17,SWEDESBORO BORO,29,"4,642,900","160,100",,,
18,WASHINGTON TWP,850,"186,837,980","219,809",,,
19,WENONAH BORO,24,"6,357,900","264,913",,,
20,WEST DEPTFORD TWP,252,"44,630,367","177,105",,,
21,WESTVILLE BORO,56,"7,648,211","136,575",,,
22,WOODBURY CITY,197,"28,480,321","144,570",,,
23,WOODBURY HEIGHTS BORO,39,"6,906,900","177,100",,,
24,WOOLWICH TWP,122,"40,634,312","333,068",,,
,GLOUCESTER COUNTY,"4,146","819,903,084","197,758",,,
,,,,,,,
09,HUDSON COUNTY,,,,,,
01,BAYONNE CITY,579,"184,341,291","318,379",,,
02,EAST NEWARK BORO,20,"5,691,000","284,550",,,
03,GUTTENBERG TOWN,236,"83,950,505","355,722",,,
04,HARRISON TOWN,120,"37,876,300","315,636",,,
05,HOBOKEN CITY,"1,228","564,402,235","459,611",,,
06,JERSEY CITY CITY,"2,909","829,327,644","285,090",,,
07,KEARNY TOWN,260,"83,024,271","319,324",,,
08,NORTH BERGEN TWP,723,"237,264,098","328,166",,,
09,SECAUCUS TOWN,257,"91,866,275","357,456",,,
10,UNION CITY CITY,405,"119,497,969","295,057",,,
11,WEEHAWKEN TWP,124,"58,539,534","472,093",,,
