Num,Municipality Name,Municipality Code,County,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
35,EAST RUTHERFORD BOROUGH,212,Bergen,40.82,-74.09,"$160,604.55 ","$182,403.00 ","$218,152.00 ","$245,938.00 ","$290,764.00 ","$344,585.00 ","$344,553.00 ","$382,579.00 ","$368,508.00 ","$319,995.00 ","$329,487.00 ","$318,361.00 ","$304,035.00 ","$300,390.00 ","$324,964.00 ","$301,127.00 ","$334,985.00 ","$366,784.00 ","$356,556.00 ","$386,929 "
36,EDGEWATER BOROUGH,213,Bergen,40.82,-73.97,"$224,432.68 ","$263,966.00 ","$303,635.00 ","$335,805.00 ","$401,811.00 ","$486,000.00 ","$575,317.00 ","$582,733.00 ","$591,319.00 ","$484,389.00 ","$470,502.00 ","$504,004.00 ","$481,841.00 ","$505,759.00 ","$522,594.00 ","$579,776.00 ","$608,720.00 ","$594,357.00 ","$560,214.00 ","$638,329 "
37,EMERSON BOROUGH,214,Bergen,40.97,-74.02,"$285,215.96 ","$316,164.00 ","$327,316.00 ","$369,894.00 ","$409,020.00 ","$482,759.00 ","$525,436.00 ","$580,529.00 ","$506,881.00 ","$478,479.00 ","$414,724.00 ","$401,864.00 ","$422,235.00 ","$435,080.00 ","$474,784.00 ","$469,311.00 ","$482,583.00 ","$483,914.00 ","$483,510.00 ","$503,333 "
38,ENGLEWOOD CITY,215,Bergen,40.89,-73.97,"$294,954.21 ","$320,743.00 ","$323,811.00 ","$344,365.00 ","$412,334.00 ","$497,056.00 ","$553,487.00 ","$514,487.00 ","$557,175.00 ","$528,684.00 ","$498,130.00 ","$782,900.00 ","$598,099.00 ","$567,959.00 ","$493,570.00 ","$489,086.00 ","$493,384.00 ","$482,846.00 ","$545,570.00 ","$572,061 "
39,ENGLEWOOD CLIFFS BOROUGH,216,Bergen,40.88,-73.95,"$552,506.02 ","$584,949.00 ","$706,923.00 ","$766,286.00 ","$911,743.00 ","$1,016,316.00 ","$1,176,492.00 ","$1,331,010.00 ","$1,514,708.00 ","$1,347,665.00 ","$1,178,481.00 ","$1,090,833.00 ","$1,266,850.00 ","$1,111,502.00 ","$1,172,856.00 ","$1,343,381.00 ","$1,269,282.00 ","$1,425,005.00 ","$1,374,023.00 ","$1,418,425 "
40,FAIR LAWN BOROUGH,217,Bergen,40.94,-74.12,"$226,433.18 ","$256,514.00 ","$270,241.00 ","$316,238.00 ","$346,726.00 ","$397,356.00 ","$450,708.00 ","$435,560.00 ","$427,408.00 ","$389,379.00 ","$396,547.00 ","$381,134.00 ","$321,221.00 ","$349,473.00 ","$361,507.00 ","$371,741.00 ","$394,669.00 ","$406,076.00 ","$424,978.00 ","$441,874 "
41,FAIRVIEW BOROUGH,218,Bergen,40.82,-74,"$183,014.75 ","$207,841.00 ","$249,076.00 ","$294,264.00 ","$337,572.00 ","$391,299.00 ","$450,837.00 ","$461,801.00 ","$424,368.00 ","$395,231.00 ","$322,165.00 ","$326,829.00 ","$274,695.00 ","$270,009.00 ","$328,233.00 ","$377,726.00 ","$355,277.00 ","$384,129.00 ","$392,401.00 ","$413,306 "
42,FORT LEE BOROUGH,219,Bergen,40.85,-73.97,"$286,790.55 ","$299,184.00 ","$330,844.00 ","$397,892.00 ","$419,317.00 ","$523,309.00 ","$560,824.00 ","$537,583.00 ","$556,319.00 ","$524,731.00 ","$504,199.00 ","$501,627.00 ","$450,886.00 ","$521,850.00 ","$547,171.00 ","$552,840.00 ","$513,427.00 ","$544,963.00 ","$555,114.00 ","$533,913 "
43,FRANKLIN LAKES BOROUGH,220,Bergen,41.01,-74.21,"$645,726.46 ","$743,702.00 ","$804,068.00 ","$901,546.00 ","$906,997.00 ","$1,125,539.00 ","$1,145,679.00 ","$1,314,000.00 ","$1,478,710.00 ","$1,177,255.00 ","$1,182,640.00 ","$972,250.00 ","$1,104,583.00 ","$1,001,764.00 ","$1,072,530.00 ","$1,120,670.00 ","$1,141,465.00 ","$1,072,830.00 ","$1,104,180.00 ","$1,126,203 "
44,GARFIELD CITY,221,Bergen,40.88,-74.11,"$169,151.08 ","$186,978.00 ","$207,188.00 ","$261,851.00 ","$295,288.00 ","$351,834.00 ","$397,940.00 ","$415,340.00 ","$375,471.00 ","$337,751.00 ","$300,981.00 ","$266,482.00 ","$283,536.00 ","$279,072.00 ","$268,191.00 ","$304,775.00 ","$331,237.00 ","$314,747.00 ","$343,541.00 ","$351,322 "
