MUNICIPALITY_NAME_COMMON,MUNICIPALITY_NAME_NJ-1040,MUNICIPALITY_CODE_NJ-1040,Num_Rail_Stops,Num_Bus_Stops,Total_Transit,Transit_Score_1,Xscore
Loch Arbour Village,Loch Arbour Village,1326,0,2,2,250,2
Long Branch,Long Branch City,1327,2,32,34,500,260
Manalapan Township,Manalapan Township,1328,0,28,28,250,30
Manasquan Borough,Manasquan Borough,1329,1,11,12,500,254
Marlboro Township,Marlboro Township,1330,0,28,28,250,30
Matawan Borough,Matawan Borough,1331,1,41,42,500,263
Middletown Township,Middletown Township,1332,1,72,73,500,272
Millstone Township,Millstone Township,1333,0,0,0,0,0
Monmouth Beach Borough,Monmouth Beach Borough,1334,0,0,0,0,0
Neptune Township,Neptune Township,1335,0,27,27,250,29
Neptune City Borough,Neptune City Borough,1336,0,4,4,250,4
Ocean Township,Ocean Township,1337,0,34,34,250,37
Oceanport Borough,Oceanport Borough,1338,0,3,3,250,3
Red Bank Borough,Red Bank Borough,1339,1,32,33,500,260
Roosevelt Borough,Roosevelt Borough,1340,0,0,0,0,0
Rumson Borough,Rumson Borough,1341,0,18,18,250,19
Sea Bright Borough,Sea Bright Borough,1342,0,4,4,250,4
Sea Girt Borough,Sea Girt Borough,1343,0,9,9,250,10
Shrewsbury Borough,Shrewsbury Borough,1344,0,11,11,250,12
Shrewsbury Township,Shrewsbury Township,1345,0,0,0,0,0
Lake Como Borough,Lake Como Borough,1346,0,8,8,250,9
Spring Lake Borough,Spring Lake Borough,1347,1,11,12,500,254
Spring Lake Heights Borough,Spring Lake Heights Borough,1348,0,13,13,250,14
Tinton Falls Borough,Tinton Falls Borough,1349,0,6,6,250,6
Union Beach Borough,Union Beach Borough,1350,0,28,28,250,30
Upper Freehold Township,Upper Freehold Township,1351,0,0,0,0,0
Wall Township,Wall Township,1352,0,13,13,250,14
West Long Branch Borough,West Long Branch Borough,1353,0,16,16,250,17
Boonton,Boonton Town,1401,1,18,19,500,256
Boonton Township,Boonton Township,1402,0,0,0,0,0
Butler Borough,Butler Borough,1403,0,16,16,250,17
Chatham Borough,Chatham Borough,1404,1,18,19,500,256
Chatham Township,Chatham Township,1405,0,0,0,0,0
Chester Borough,Chester Borough,1406,0,0,0,0,0
Chester Township,Chester Township,1407,0,0,0,0,0
Denville Township,Denville Township,1408,2,12,14,500,254
Dover,Dover Town,1409,1,20,21,500,256
East Hanover Township,East Hanover Township,1410,0,17,17,250,18
Florham Park Borough,Florham Park Borough,1411,0,23,23,250,25
Hanover Township,Hanover Township,1412,0,41,41,250,44
Harding Township,Harding Township,1413,0,0,0,0,0
Jefferson Township,Jefferson Township,1414,0,0,0,0,0
Kinnelon Borough,Kinnelon Borough,1415,0,1,1,250,1
Lincoln Park Borough,Lincoln Park Borough,1416,0,17,17,250,18
Madison Borough,Madison Borough,1417,1,15,16,500,255
Mendham Borough,Mendham Borough,1418,0,0,0,0,0
Mendham Township,Mendham Township,1419,0,0,0,0,0
Mine Hill Township,Mine Hill Township,1420,0,0,0,0,0
Montville Township,Montville Township,1421,2,30,32,500,260
Morris Township,Morris Township,1422,0,24,24,250,26
Morris Plains Borough,Morris Plains Borough,1423,1,22,23,500,257
Morristown,Morristown Town,1424,1,31,32,500,260
Mountain Lakes Borough,Mountain Lakes Borough,1425,1,0,1,250,1
Mount Arlington Borough,Mount Arlington Borough,1426,0,0,0,0,0
Mount Olive Township,Mount Olive Township,1427,1,0,1,250,1
Netcong Borough,Netcong Borough,1428,1,0,1,250,1
Parsippany-Troy Hills Township,Parsippany-Troy Hills Township,1429,0,124,124,250,134
Long Hill Township,Long Hill Township,1430,2,0,2,250,2
Pequannock Township,Pequannock Township,1431,0,21,21,250,23
Randolph Township,Randolph Township,1432,0,17,17,250,18
Riverdale Borough,Riverdale Borough,1433,0,19,19,250,21
Rockaway Borough,Rockaway Borough,1434,0,12,12,250,13
Rockaway Township,Rockaway Township,1435,0,4,4,250,4
Roxbury Township,Roxbury Township,1436,2,2,4,500,251
Victory Gardens Borough,Victory Gardens Borough,1437,0,2,2,250,2
Washington Township,Washington Township,1438,0,0,0,0,0
Wharton Borough,Wharton Borough,1439,0,18,18,250,19
Barnegat Township,Barnegat Township,1501,0,10,10,250,11
Barnegat Light Borough,Barnegat Light Borough,1502,0,0,0,0,0
Bay Head Borough,Bay Head Borough,1503,0,0,0,0,0
Beach Haven Borough,Beach Haven Borough,1504,0,0,0,0,0
Beachwood Borough,Beachwood Borough,1505,0,6,6,250,6
Berkeley Township,Berkeley Township,1506,0,12,12,250,13
Brick Township,Brick Township,1507,0,32,32,250,35
Toms River Township,Toms River Township,1508,1,70,71,500,272
Eagleswood Township,Eagleswood Township,1509,0,4,4,250,4
Harvey Cedars Borough,Harvey Cedars Borough,1510,0,0,0,0,0
Island Heights Borough,Island Heights Borough,1511,0,0,0,0,0
Jackson Township,Jackson Township,1512,0,21,21,250,23
Lacey Township,Lacey Township,1513,0,16,16,250,17
Lakehurst Borough,Lakehurst Borough,1514,0,0,0,0,0
Lakewood Township,Lakewood Township,1515,0,46,46,250,50
Lavallette Borough,Lavallette Borough,1516,0,0,0,0,0
Little Egg Harbor Township,Little Egg Harbor Township,1517,0,29,29,250,31
Long Beach Township,Long Beach Township,1518,0,0,0,0,0
Manchester Township,Manchester Township,1519,0,0,0,0,0
Mantoloking Borough,Mantoloking Borough,1520,0,0,0,0,0
Ocean Township,Ocean Township,1521,0,14,14,250,15
Ocean Gate Borough,Ocean Gate Borough,1522,0,0,0,0,0
Pine Beach Borough,Pine Beach Borough,1523,0,0,0,0,0
Plumsted Township,Plumsted Township,1524,0,7,7,250,8
Point Pleasant Borough,Point Pleasant Borough,1525,0,12,12,250,13
Point Pleasant Beach Borough,Point Pleasant Beach Borough,1526,1,8,9,500,253
Seaside Heights Borough,Seaside Heights Borough,1527,0,0,0,0,0
Seaside Park Borough,Seaside Park Borough,1528,0,0,0,0,0
Ship Bottom Borough,Ship Bottom Borough,1529,0,0,0,0,0
South Toms River Borough,South Toms River Borough,1530,0,0,0,0,0
Stafford Township,Stafford Township,1531,0,5,5,250,5
Surf City Borough,Surf City Borough,1532,0,0,0,0,0
Tuckerton Borough,Tuckerton Borough,1533,0,10,10,250,11
Bloomingdale Borough,Bloomingdale Borough,1601,0,9,9,250,10
Clifton,Clifton City,1602,2,272,274,500,333
Haledon Borough,Haledon Borough,1603,0,31,31,250,34
Hawthorne Borough,Hawthorne Borough,1604,1,31,32,500,260
Little Falls Township,Little Falls Township,1605,2,66,68,500,271
North Haledon Borough,North Haledon Borough,1606,0,0,0,0,0
Passaic,Passaic City,1607,1,125,126,500,288
Paterson,Paterson City,1608,1,314,315,500,346
Pompton Lakes Borough,Pompton Lakes Borough,1609,0,28,28,250,30
Prospect Park Borough,Prospect Park Borough,1610,0,6,6,250,6
Ringwood Borough,Ringwood Borough,1611,0,4,4,250,4
Totowa Borough,Totowa Borough,1612,0,28,28,250,30
Wanaque Borough,Wanaque Borough,1613,0,31,31,250,34
Wayne Township,Wayne Township,1614,3,200,203,500,312
West Milford Township,West Milford Township,1615,0,43,43,250,47
Woodland Park Borough,Woodland Park Borough,1616,0,18,18,250,19
Alloway Township,Alloway Township,1701,0,0,0,0,0
Carneys Point Township,Carneys Point Township,1702,0,29,29,250,31
Elmer Borough,Elmer Borough,1703,0,0,0,0,0
Elsinboro Township,Elsinboro Township,1704,0,0,0,0,0
Lower Alloways Creek Township,Lower Alloways Creek Township,1705,0,0,0,0,0
Mannington Township,Mannington Township,1706,0,10,10,250,11
Oldmans Township,Oldmans Township,1707,0,6,6,250,6
Penns Grove Borough,Penns Grove Borough,1708,0,27,27,250,29
Pennsville Township,Pennsville Township,1709,0,31,31,250,34
Pilesgrove Township,Pilesgrove Township,1710,0,9,9,250,10
Pittsgrove Township,Pittsgrove Township,1711,0,0,0,0,0
Quinton Township,Quinton Township,1712,0,0,0,0,0
Salem,Salem City,1713,0,21,21,250,23
Upper Pittsgrove Township,Upper Pittsgrove Township,1714,0,12,12,250,13
Woodstown Borough,Woodstown Borough,1715,0,14,14,250,15
Bedminster Township,Bedminster Township,1801,0,0,0,0,0
Bernards Township,Bernards Township,1802,2,0,2,250,2
Bernardsville Borough,Bernardsville Borough,1803,1,0,1,250,1
Bound Brook Borough,Bound Brook Borough,1804,1,13,14,500,254
Branchburg Township,Branchburg Township,1805,1,0,1,250,1
Bridgewater Township,Bridgewater Township,1806,1,16,17,500,255
Far Hills Borough,Far Hills Borough,1807,1,0,1,250,1
Franklin Township,Franklin Township,1808,0,0,0,0,0
Green Brook Township,Green Brook Township,1809,0,8,8,250,9
Hillsborough Township,Hillsborough Township,1810,0,0,0,0,0
Manville Borough,Manville Borough,1811,0,0,0,0,0
Millstone Borough,Millstone Borough,1812,0,0,0,0,0
Montgomery Township,Montgomery Township,1813,0,8,8,250,9
North Plainfield Borough,North Plainfield Borough,1814,0,28,28,250,30
Peapack-Gladstone Borough,Peapack-Gladstone Borough,1815,2,0,2,250,2
Raritan Borough,Raritan Borough,1816,1,0,1,250,1
Rocky Hill Borough,Rocky Hill Borough,1817,0,0,0,0,0
Somerville Borough,Somerville Borough,1818,1,18,19,500,256
South Bound Brook Borough,South Bound Brook Borough,1819,0,0,0,0,0
Warren Township,Warren Township,1820,0,0,0,0,0
Watchung Borough,Watchung Borough,1821,0,3,3,250,3
Andover Borough,Andover Borough,1901,0,0,0,0,0
Andover Township,Andover Township,1902,0,0,0,0,0
Branchville Borough,Branchville Borough,1903,0,0,0,0,0
Byram Township,Byram Township,1904,0,0,0,0,0
Frankford Township,Frankford Township,1905,0,0,0,0,0
Franklin Borough,Franklin Borough,1906,0,0,0,0,0
Fredon Township,Fredon Township,1907,0,0,0,0,0
Green Township,Green Township,1908,0,0,0,0,0
Hamburg Borough,Hamburg Borough,1909,0,0,0,0,0
Hampton Township,Hampton Township,1910,0,0,0,0,0
Hardyston Township,Hardyston Township,1911,0,1,1,250,1
Hopatcong Borough,Hopatcong Borough,1912,0,0,0,0,0
Lafayette Township,Lafayette Township,1913,0,0,0,0,0
Montague Township,Montague Township,1914,0,0,0,0,0
Newton,Newton Town,1915,0,0,0,0,0
Ogdensburg Borough,Ogdensburg Borough,1916,0,0,0,0,0
Sandyston Township,Sandyston Township,1917,0,0,0,0,0
Sparta Township,Sparta Township,1918,0,0,0,0,0
Stanhope Borough,Stanhope Borough,1919,0,0,0,0,0
Stillwater Township,Stillwater Township,1920,0,0,0,0,0
Sussex Borough,Sussex Borough,1921,0,0,0,0,0
Vernon Township,Vernon Township,1922,0,0,0,0,0
Walpack Township,Walpack Township,1923,0,0,0,0,0
Wantage Township,Wantage Township,1924,0,0,0,0,0
Berkeley Heights Township,Berkeley Heights Township,2001,1,15,16,500,255
Clark Township,Clark Township,2002,0,20,20,250,22
Cranford Township,Cranford Township,2003,1,22,23,500,257
Elizabeth,Elizabeth City,2004,2,213,215,500,315
Fanwood Borough,Fanwood Borough,2005,1,22,23,500,257
Garwood Borough,Garwood Borough,2006,1,20,21,500,256
Hillside Township,Hillside Township,2007,0,55,55,250,60
Kenilworth Borough,Kenilworth Borough,2008,0,33,33,250,36
Linden,Linden City,2009,1,115,116,500,285
Mountainside Borough,Mountainside Borough,2010,0,8,8,250,9
New Providence Borough,New Providence Borough,2011,1,21,22,500,257
Plainfield,Plainfield City,2012,2,197,199,500,311
Rahway,Rahway City,2013,1,56,57,500,267
Roselle Borough,Roselle Borough,2014,0,65,65,250,70
Roselle Park Borough,Roselle Park Borough,2015,1,29,30,500,259
Scotch Plains Township,Scotch Plains Township,2016,0,59,59,250,64
Springfield Township,Springfield Township,2017,0,62,62,250,67
Summit,Summit City,2018,2,67,69,500,271
Union Township,Union Township,2019,1,184,185,500,306
Westfield,Westfield Town,2020,1,45,46,500,264
Winfield Township,Winfield Township,2021,0,5,5,250,5
Allamuchy Township,Allamuchy Township,2101,0,0,0,0,0
Alpha Borough,Alpha Borough,2102,0,0,0,0,0
Belvidere,Belvidere Town,2103,0,0,0,0,0
Blairstown Township,Blairstown Township,2104,0,0,0,0,0
Franklin Township,Franklin Township,2105,0,0,0,0,0
Frelinghuysen Township,Frelinghuysen Township,2106,0,0,0,0,0
Greenwich Township,Greenwich Township,2107,0,0,0,0,0
Hackettstown,Hackettstown Town,2108,1,0,1,250,1
Hardwick Township,Hardwick Township,2109,0,0,0,0,0
Harmony Township,Harmony Township,2110,0,0,0,0,0
Hope Township,Hope Township,2111,0,0,0,0,0
Independence Township,Independence Township,2112,0,0,0,0,0
Knowlton Township,Knowlton Township,2113,0,0,0,0,0
Liberty Township,Liberty Township,2114,0,0,0,0,0
Lopatcong Township,Lopatcong Township,2115,0,7,7,250,8
Mansfield Township,Mansfield Township,2116,0,0,0,0,0
Oxford Township,Oxford Township,2117,0,0,0,0,0
Phillipsburg,Phillipsburg Town,2119,0,56,56,250,61
Pohatcong Township,Pohatcong Township,2120,0,3,3,250,3
Washington Borough,Washington Borough,2121,0,0,0,0,0
Washington Township,Washington Township,2122,0,0,0,0,0
White Township,White Township,2123,0,0,0,0,0
